# fecha: 2026-09-15T11:47:23
# python: 3.14.2
# numpy: 2.4.3
# sha_v7i: 935c6e42c29d8e88
# sha_este: ccab60b8938fbe8c
# base_previa: parte1_umbral_20260915_113736.json
# NS: 20
# T: 100000
# theta: 0.6
# condiciones: {'REJ_AB1': "{'solap_AB': 1, 'forzar_KW': False}", 'REJ_AB2': "{'solap_AB': 2, 'forzar_KW': False}", 'REJ_AB3': "{'solap_AB': 3, 'forzar_KW': False}", 'D_comida_solB0_t0': "{'nuevo': 'D', 'nuevo_val': 'comida', 'solap_B': 0, 'nuevo_en': 0}", 'D_comida_solB1_t0': "{'nuevo': 'D', 'nuevo_val': 'comida', 'solap_B': 1, 'nuevo_en': 0}", 'D_comida_solB2_t0': "{'nuevo': 'D', 'nuevo_val': 'comida', 'solap_B': 2, 'nuevo_en': 0}"}
# concordancia: {'tp': 139, 'fp': 0, 'fn': 0, 'tn': 181, 'n': 320}
cond,seed,plast,solap_medido,splits,celdas,primer_split,estimulos_split,W_A,W_B,W_C,W_D,err_max,deaths
D_comida_solB0_t0,1,True,0,0,30,,,1.0,-3.0,1.0,1.0,0.4425,100
D_comida_solB0_t0,2,True,0,0,30,,,1.0,-2.98,0.67,1.0,0.4425,90
D_comida_solB0_t0,3,True,0,0,30,,,1.0,-2.98,-0.66,1.0,0.4425,86
D_comida_solB0_t0,4,True,0,0,30,,,1.0,-2.99,-0.66,1.0,0.4425,98
D_comida_solB0_t0,5,True,0,0,30,,,1.0,-3.0,0.33,1.0,0.4425,112
D_comida_solB0_t0,6,True,0,0,30,,,1.0,-3.0,0.33,1.0,0.4425,104
D_comida_solB0_t0,7,True,0,0,30,,,1.0,-2.99,0.67,1.0,0.4425,97
D_comida_solB0_t0,8,True,0,0,30,,,1.0,-2.99,0.33,1.0,0.4425,98
D_comida_solB0_t0,9,True,0,0,30,,,1.0,-2.99,0.33,1.0,0.4425,114
D_comida_solB0_t0,10,True,0,0,30,,,1.0,-2.99,-0.66,1.0,0.4425,109
D_comida_solB0_t0,11,True,0,0,30,,,1.0,-2.99,0.33,1.0,0.4425,91
D_comida_solB0_t0,12,True,0,0,30,,,1.0,-2.99,1.0,1.0,0.4425,102
D_comida_solB0_t0,13,True,0,0,30,,,1.0,-2.98,0.67,1.0,0.4425,78
D_comida_solB0_t0,14,True,0,0,30,,,1.0,-2.99,0.67,1.0,0.4425,115
D_comida_solB0_t0,15,True,0,0,30,,,1.0,-2.99,-0.66,1.0,0.4425,95
D_comida_solB0_t0,16,True,0,0,30,,,1.0,-2.99,0.67,1.0,0.4425,100
D_comida_solB0_t0,17,True,0,0,30,,,1.0,-3.0,0.0,1.0,0.4425,109
D_comida_solB0_t0,18,True,0,0,30,,,1.0,-2.99,0.67,1.0,0.4425,97
D_comida_solB0_t0,19,True,0,0,30,,,1.0,-2.99,0.67,1.0,0.4425,88
D_comida_solB0_t0,20,True,0,0,30,,,1.0,-3.0,0.33,1.0,0.4425,109
D_comida_solB0_t0,1,False,0,0,30,,,1.0,-3.0,1.0,1.0,0.4425,100
D_comida_solB0_t0,2,False,0,0,30,,,1.0,-2.98,0.67,1.0,0.4425,90
D_comida_solB0_t0,3,False,0,0,30,,,1.0,-2.98,-0.66,1.0,0.4425,86
D_comida_solB0_t0,4,False,0,0,30,,,1.0,-2.99,-0.66,1.0,0.4425,98
D_comida_solB0_t0,5,False,0,0,30,,,1.0,-3.0,0.33,1.0,0.4425,112
D_comida_solB0_t0,6,False,0,0,30,,,1.0,-3.0,0.33,1.0,0.4425,104
D_comida_solB0_t0,7,False,0,0,30,,,1.0,-2.99,0.67,1.0,0.4425,97
D_comida_solB0_t0,8,False,0,0,30,,,1.0,-2.99,0.33,1.0,0.4425,98
D_comida_solB0_t0,9,False,0,0,30,,,1.0,-2.99,0.33,1.0,0.4425,114
D_comida_solB0_t0,10,False,0,0,30,,,1.0,-2.99,-0.66,1.0,0.4425,109
D_comida_solB0_t0,11,False,0,0,30,,,1.0,-2.99,0.33,1.0,0.4425,91
D_comida_solB0_t0,12,False,0,0,30,,,1.0,-2.99,1.0,1.0,0.4425,102
D_comida_solB0_t0,13,False,0,0,30,,,1.0,-2.98,0.67,1.0,0.4425,78
D_comida_solB0_t0,14,False,0,0,30,,,1.0,-2.99,0.67,1.0,0.4425,115
