# fecha: 2026-09-15T12:10:18
# python: 3.14.2
# numpy: 2.4.3
# sha_cap: dc058e0a43216bf3
# sha_este: ef471cd7c97cc822
# sha_v6: 5f38f83cf49248a3
# sha_v7: 3db0475ef0ea95ce
# NS: 20
# N_EST: 20
# TOL: 0.3
# condiciones: {"v6_20k": "(False, 20000)", "v7_20k": "(True, 20000)", "v6_60k": "(False, 60000)", "v7_60k": "(True, 60000)"}
# estimulos: {"A": {"patron": "110100", "valencia": "comida", "R": 1.0}, "B": {"patron": "101010", "valencia": "veneno", "R": -3.0}, "C": {"patron": "011001", "valencia": "comida", "R": 1.0}, "D": {"patron": "001011", "valencia": "veneno", "R": -3.0}, "E05": {"patron": "111000", "valencia": "comida", "R": 1.0}, "E06": {"patron": "110010", "valencia": "veneno", "R": -3.0}, "E07": {"patron": "110001", "valencia": "comida", "R": 1.0}, "E08": {"patron": "101100", "valencia": "veneno", "R": -3.0}, "E09": {"patron": "101001", "valencia": "comida", "R": 1.0}, "E10": {"patron": "100110", "valencia": "veneno", "R": -3.0}, "E11": {"patron": "100101", "valencia": "comida", "R": 1.0}, "E12": {"patron": "100011", "valencia": "veneno", "R": -3.0}, "E13": {"patron": "011100", "valencia": "comida", "R": 1.0}, "E14": {"patron": "011010", "valencia": "veneno", "R": -3.0}, "E15": {"patron": "010110", "valencia": "comida", "R": 1.0}, "E16": {"patron": "010101", "valencia": "veneno", "R": -3.0}, "E17": {"patron": "010011", "valencia": "comida", "R": 1.0}, "E18": {"patron": "001110", "valencia": "veneno", "R": -3.0}, "E19": {"patron": "001101", "valencia": "comida", "R": 1.0}, "E20": {"patron": "000111", "valencia": "veneno", "R": -3.0}}
cond,seed,paso_t,n,t,celdas,splits,solap_medio,solap_max,e_n_mediana,estimulo,W,R,dev,vis_ac,mord_ac
v6_20k,1,20000,2,20000,30,0,0.0,0,0.056,A,1.0,1.0,0.0,86,85
v6_20k,1,20000,2,20000,30,0,0.0,0,0.056,B,-2.889,-3.0,0.111,3471,35
v6_20k,1,20000,3,40000,30,0,0.333,1,0.014,A,1.0,1.0,0.0,144,143
v6_20k,1,20000,3,40000,30,0,0.333,1,0.014,B,-2.799,-3.0,0.201,7708,53
v6_20k,1,20000,3,40000,30,0,0.333,1,0.014,C,0.986,1.0,0.014,86,81
v6_20k,1,20000,4,60000,30,0,0.833,3,0.847,A,1.0,1.0,0.0,183,182
v6_20k,1,20000,4,60000,30,0,0.833,3,0.847,B,-3.069,-3.0,0.069,13340,61
v6_20k,1,20000,4,60000,30,0,0.833,3,0.847,C,-0.626,1.0,1.626,173,111
v6_20k,1,20000,4,60000,30,0,0.833,3,0.847,D,-0.626,-3.0,2.374,65,29
v6_20k,1,20000,5,80000,30,0,1.0,3,0.503,A,1.087,1.0,0.087,256,255
v6_20k,1,20000,5,80000,30,0,1.0,3,0.503,B,-2.497,-3.0,0.503,18159,97
v6_20k,1,20000,5,80000,30,0,1.0,3,0.503,C,0.0,1.0,1.0,280,198
v6_20k,1,20000,5,80000,30,0,1.0,3,0.503,D,0.0,-3.0,3.0,143,87
v6_20k,1,20000,5,80000,30,0,1.0,3,0.503,E05,0.816,1.0,0.184,221,80
v6_20k,1,20000,6,100000,30,0,1.0,3,0.523,A,0.767,1.0,0.233,291,289
v6_20k,1,20000,6,100000,30,0,1.0,3,0.523,B,-2.813,-3.0,0.187,21542,116
v6_20k,1,20000,6,100000,30,0,1.0,3,0.523,C,0.0,1.0,1.0,322,236
v6_20k,1,20000,6,100000,30,0,1.0,3,0.523,D,0.0,-3.0,3.0,189,128
