"# procedencia: {""fecha"": ""2026-09-15T12:09:59"", ""rama"": ""3K_kenyon_aprendido"", ""T"": 200000, ""fase2_en"": 100000, ""semillas"": 20, ""python"": ""3.14.2"", ""numpy"": ""2.4.3"", ""plataforma"": ""Windows-11-10.0.26200-SP0"", ""sha256_16"": {""organismo_3k"": ""cb5a528d123056a7"", ""run_3k"": ""8fa9aa6b38c68942"", ""PREREGISTRO"": ""f303e55005fcdec1"", ""organismo_v6"": ""5f38f83cf49248a3""}, ""malla"": {""celdas"": [[""fijo"", 0.0], [""hebb_visita"", 0.003], [""hebb_visita"", 0.01], [""hebb_visita"", 0.03], [""hebb_mordida"", 0.003], [""hebb_mordida"", 0.01], [""hebb_mordida"", 0.03], [""error"", 0.003], [""error"", 0.01], [""error"", 0.03]], ""variantes"": [""congelado"", ""aprende""]}, ""mundo"": {""n_patrones"": 20, ""px_activos"": 3, ""px_relevante"": 0, ""tren"": 10, ""test"": 10, ""particion_rng"": ""default_rng(10000+seed)""}, ""segundos"": 709.205012}"
seed,modo,k_lr,variante,deaths,acc_signo,r_clase,r_solap,Wa_test_comida,Wa_test_veneno,Wa_tren_comida,Wa_tren_veneno,prec_test,tasa_test_comida,tasa_test_veneno,prec_test_q1,tasaC_test_q1,tasaV_test_q1,prec_test_q2,tasaC_test_q2,tasaV_test_q2,prec_test_q3,tasaC_test_q3,tasaV_test_q3,prec_test_q4,tasaC_test_q4,tasaV_test_q4,prec_tren,tasa_tren_comida,tasa_tren_veneno,prec_tren_f1,mord_comida,mord_veneno,ratio_disp,ratio_media,sel_clase,solap_intra,solap_inter,ratio_solap,celdas_usadas,uso_max,ratio_disp_f2,ratio_media_f2,sel_clase_f2,solap_intra_f2,solap_inter_f2,ratio_solap_f2,celdas_usadas_f2,uso_max_f2,deriva_kw
1,fijo,0.0,congelado,253,0.85,0.679499335150939,0.951409849907614,1.525843158835454,-0.07226051385072374,1.011599233406176,-2.7589490360354048,0.7163579276674286,0.9846153846153847,0.5518995292805277,0.7288215286114446,1.0,0.5423569427771108,0.6879259259259259,0.9866666666666667,0.6108148148148148,0.7235896212830297,0.9789473684210526,0.5317681258549931,0.7163233082706766,0.9714285714285713,0.538781954887218,0.998976680124909,1.0,0.002046639750181919,0.9684624736751775,894,446,1.1719056793367177,1.0770761144272207,0.16,1.3444444444444446,1.1,1.2222222222222223,20,19,1.1719056793367177,1.0770761144272207,0.16,1.3444444444444446,1.1,1.2222222222222223,20,19,0.0
2,fijo,0.0,congelado,276,0.8,0.409302330154502,0.8719364522075012,0.4768108973412584,-0.6709867133976536,0.9501095892567039,-2.951883247680641,0.7125509240201275,0.8002343749999999,0.3751325269597447,0.6961769330963292,0.7890909090909091,0.39673704289825074,0.7078847392406714,0.8181818181818181,0.4024123397004753,0.7039381486251459,0.7778095919828203,0.36993329473252856,0.7139815961312999,0.8223776223776224,0.39441443011502264,0.9972206233816848,1.0,0.0055587532366303104,0.9847306430171879,882,376,1.089325879854932,1.1114895019382307,0.16190476190476194,0.6444444444444445,0.53,1.2159329140461217,21,10,1.089325879854932,1.1114895019382307,0.16190476190476194,0.6444444444444445,0.53,1.2159329140461217,21,10,0.0
3,fijo,0.0,congelado,310,0.9,0.8361050047599019,0.7467185045495753,1.00375465126307,-0.5220870177085608,1.00375465126307,-2.619181539216106,0.7107836556626685,0.9972972972972972,0.5757299859719602,0.7060964912280702,1.0,0.5878070175438597,0.7126514958894823,0.9894736842105264,0.5641706924315619,0.7204330963154493,1.0,0.5591338073691016,0.6953019491403668,1.0,0.6093961017192664,0.9933353808492599,0.9962264150943396,0.009555653395819926,0.9379568393695606,1016,559,1.0540447655741854,1.2075236965671654,0.19999999999999998,0.9333333333333333,0.73,1.2785388127853883,16,11,1.0540447655741854,1.2075236965671654,0.19999999999999998,0.9333333333333333,0.73,1.2785388127853883,16,11,0.0
4,fijo,0.0,congelado,323,0.65,0.3903558510896512,0.6333805104942402,0.0,-0.7266505879626172,0.9267933601428275,-2.5351746349711934,0.6594745630229678,0.7797328786587098,0.46078375261277416,0.6529672688415731,0.7554717480481673,0.4495372103650211,0.6587331394967817,0.8082397003745319,0.49077342138096836,0.6572599227808255,0.7938364779874214,0.47931663242577055,0.6709620964790908,0.7797044334975369,0.4377802405393553,0.9873826907968613,1.0,0.02523461840627738,0.9171051252161304,958,584,0.9952662638663577,0.978053190967051,0.1368421052631579,1.1666666666666667,1.09,1.070336391437309,19,17,0.9952662638663577,0.978053190967051,0.1368421052631579,1.1666666666666667,1.09,1.070336391437309,19,17,0.0
5,fijo,0.0,congelado,319,0.5,-0.06955490007172985,0.6997577361513443,0.042031393393003214,0.9594163061390012,0.9071422940636028,-2.6767192124376615,0.4697482685636451,0.5926610940893156,0.6531645569620254,0.45652645222104393,0.5565311653116531,0.6434782608695653,0.4777277093616997,0.602823839776031,0.6473684210526316,0.47038070911634133,0.6036185610898255,0.6628571428571428,0.4713819029510675,0.6043022674405966,0.6615384615384615,0.8002898197176516,0.9740297063304666,0.3734500668951636,0.8160705362676358,1208,796,0.9254037910059225,0.9627577463893238,0.1625,0.9777777777777777,0.86,1.1369509043927648,16,15,0.9254037910059225,0.9627577463893238,0.1625,0.9777777777777777,0.86,1.1369509043927648,16,15,0.0
6,fijo,0.0,congelado,239,0.55,0.006335709929619489,0.9078611936564256,-1.2618451412082348,-0.5793425819644151,1.0301084700293497,-2.663951134894609,0.48481293096345707,0.4571917271785447,0.48756586525163054,0.47899025830466146,0.4917893147399742,0.5338087981306513,0.500985049944753,0.4524829204023266,0.4505128205128205,0.47642283931924173,0.4375358851674641,0.48469020652898065,0.47780107722757903,0.4607362756507813,0.5051341211956233,0.9972370761538463,1.0,0.005525847692307418,0.9807604273651609,831,364,1.0603169034293325,0.9438916860592695,0.17777777777777778,0.5777777777777777,0.43,1.3436692506459946,18,6,1.0603169034293325,0.9438916860592695,0.17777777777777778,0.5777777777777777,0.43,1.3436692506459946,18,6,0.0
7,fijo,0.0,congelado,271,0.6,0.31195027021402794,0.840118272878347,-0.2174103568298913,-0.5611026525425042,0.880490024622604,-2.563797982250117,0.577205221864793,0.6080955228341642,0.4536850791045782,0.5875649973157451,0.6280312907431552,0.452901296111665,0.5614356639702013,0.5839884380867988,0.4611171101463962,0.5540088659466471,0.6264992503748126,0.5184815184815184,0.5862913177421801,0.6157658569500676,0.4431832214657073,0.9924625228455934,0.9964912280701753,0.011566182378988422,0.9619881828345029,1000,458,0.9473274786707737,0.7262712901351707,0.13684210526315793,0.8333333333333334,0.71,1.1737089201877935,19,10,0.9473274786707737,0.7262712901351707,0.13684210526315793,0.8333333333333334,0.71,1.1737089201877935,19,10,0.0
8,fijo,0.0,congelado,321,0.5,0.2168409799623427,0.2240798593330403,-2.457193508935727,-2.457193508935727,0.8235842920310723,-2.4976448938522227,0.6286875198140186,0.3376922681990068,0.08031722857096954,0.648385439835574,0.36352959121415496,0.06675871154300693,0.6346274189728303,0.33661375661375664,0.06735891866809614,0.6209461238525069,0.3372727272727273,0.09538047956771362,0.5882009892879294,0.32817204301075265,0.15177006443489377,0.9928883980297042,1.0,0.014223203940591612,0.9501357643203858,714,355,0.9179598118485959,1.3463726774420206,0.14666666666666667,0.8,0.74,1.0810810810810811,15,12,0.9179598118485959,1.3463726774420206,0.14666666666666667,0.8,0.74,1.0810810810810811,15,12,0.0
9,fijo,0.0,congelado,278,0.55,0.17488095925804872,0.9605006843012106,0.574434846944014,0.3240796872739272,0.9398805112887754,-2.611737263525121,0.5820326397422,0.769414077093864,0.605348797609464,0.5950609431619491,0.7933333333333333,0.603211447009435,0.5695748465337849,0.7471847231715653,0.6080350301039956,0.5711879402850966,0.7511709401709401,0.6087950596007469,0.5891071006566398,0.7885752688172043,0.6103610675039246,0.8985599871647788,0.9811320754716981,0.18401210114214056,0.8847446630482152,1046,557,1.0207441969051838,1.031366353382923,0.2,1.0222222222222221,0.81,1.2620027434842247,15,13,1.0207441969051838,1.031366353382923,0.2,1.0222222222222221,0.81,1.2620027434842247,15,13,0.0
10,fijo,0.0,congelado,249,0.8,0.6899705774073567,0.8940151607929706,0.26312387974794443,-2.222868104410362,0.9721960304374984,-2.7095998928397904,0.7391996551309474,0.6677682977386095,0.18936898747671466,0.7323942183397429,0.6884946949602122,0.22370625828072632,0.7412133322244545,0.6758139534883721,0.19338728903946295,0.7690641959067522,0.6862772695285011,0.14814887771499663,0.7158873252833513,0.642169540229885,0.21039488966318237,0.9908593986929508,0.9956521739130434,0.01393337652714167,0.9319407742753208,865,282,0.9029639661454535,0.9218743142416189,0.22666666666666663,0.9777777777777777,0.6,1.6296296296296295,15,12,0.9029639661454535,0.9218743142416189,0.22666666666666663,0.9777777777777777,0.6,1.6296296296296295,15,12,0.0
