cual,arm,seed,sep,W_AA,W_AB,solap_A,lift_q4,splits,celdas,deaths,Rtot,t_techo
ref,C3,1,3.973,-2.975,0.998,1,0.2399,18,48,131,49.0,
ref,C3,2,3.846,-2.851,0.995,1,0.3274,12,42,109,172.0,
ref,C3,3,3.896,-2.917,0.979,2,0.2848,15,45,109,170.0,
ref,C3,4,3.976,-2.976,1.0,0,0.3796,20,50,114,203.0,
ref,C3,5,3.919,-2.924,0.995,2,0.3702,13,43,114,138.0,
ref,C3,6,3.971,-2.971,1.0,0,0.3637,20,50,86,340.0,
ref,C3,7,3.952,-2.961,0.991,1,0.3193,16,46,116,165.0,
ref,C3,8,3.986,-2.987,0.999,1,0.3665,15,45,112,177.0,
ref,C3,9,3.978,-2.978,1.0,0,0.3555,18,48,98,259.0,
ref,C3,10,3.7,-2.986,0.714,0,0.3578,16,46,135,165.0,
ref,C3,11,3.996,-2.996,1.0,0,0.3427,21,51,106,247.0,
ref,C3,12,3.961,-2.965,0.996,1,0.339,10,40,119,234.0,
ref,C3,13,3.973,-2.974,0.999,0,0.3848,16,46,122,208.0,
ref,C3,14,3.994,-2.994,1.0,0,0.3279,33,63,110,65.0,
ref,C3,15,3.958,-2.958,1.0,1,0.3924,22,52,91,371.0,
ref,C3,16,3.974,-2.975,0.999,1,0.3322,13,43,126,231.0,
ref,C3,17,3.989,-2.989,1.0,0,0.3513,14,44,110,214.0,
ref,C3,18,3.975,-2.977,0.998,1,0.3367,14,44,132,137.0,
ref,C3,19,3.993,-2.993,1.0,0,0.3217,15,45,140,162.0,
ref,C3,20,3.973,-2.974,0.999,1,0.3381,15,45,123,165.0,
ref,C3C,1,0.98,-1.561,-0.581,0,-0.064,60,90,112,-1281.0,
ref,C3C,2,-0.674,-1.617,-2.291,0,-0.0313,60,90,122,-1627.0,90850
ref,C3C,3,2.287,-2.287,0.0,0,-0.0071,60,90,122,-1806.0,89994
ref,C3C,4,-2.117,0.0,-2.117,0,-0.0179,60,90,107,-1531.0,92154
ref,C3C,5,2.033,-2.033,0.0,1,-0.0156,60,90,120,-1670.0,65188
ref,C3C,6,0.984,-1.949,-0.965,0,-0.041,60,90,109,-1476.0,98184
ref,C3C,7,-0.359,-1.3,-1.659,0,-0.0083,60,90,108,-1423.0,
ref,C3C,8,0.002,-1.49,-1.488,0,-0.0439,60,90,122,-1443.0,
ref,C3C,9,1.698,-2.303,-0.605,0,-0.0128,60,90,125,-1517.0,98398
ref,C3C,10,0.271,-1.735,-1.464,1,-0.0403,60,90,103,-1367.0,78003
ref,C3C,11,-0.167,-1.913,-2.08,0,-0.0549,60,90,111,-1519.0,
ref,C3C,12,-2.349,0.0,-2.349,0,-0.0129,60,90,123,-2156.0,64594
ref,C3C,13,0.545,-1.533,-0.988,0,-0.0128,60,90,107,-1469.0,
ref,C3C,14,0.571,-2.189,-1.618,0,-0.0975,60,90,114,-1415.0,
ref,C3C,15,0.696,-2.229,-1.533,0,-0.07,60,90,114,-1382.0,
ref,C3C,16,-0.198,0.0,-0.198,0,-0.0296,60,90,86,-1412.0,95809
ref,C3C,17,2.177,-2.177,0.0,2,-0.0451,60,90,159,-2235.0,67835
ref,C3C,18,1.54,-1.54,0.0,1,0.0039,60,90,151,-2208.0,61359
ref,C3C,19,-0.034,-1.605,-1.639,0,-0.0416,60,90,106,-1434.0,
ref,C3C,20,0.517,-1.893,-1.376,0,-0.0472,60,90,116,-1553.0,
v8,C1,1,0.0,-0.831,-0.831,3,-0.0499,0,30,126,-1597.0,
v8,C1,2,0.0,-0.972,-0.972,3,-0.0124,0,30,115,-1494.0,
v8,C1,3,0.0,-1.637,-1.637,3,-0.0172,0,30,123,-1677.0,
v8,C1,4,0.0,-0.939,-0.939,3,-0.0426,0,30,117,-1539.0,
v8,C1,5,0.0,-1.276,-1.276,3,-0.0219,0,30,127,-1622.0,
v8,C1,6,0.0,-1.822,-1.822,3,-0.0357,0,30,102,-1742.0,
v8,C1,7,0.0,-1.241,-1.241,3,-0.0651,0,30,123,-1618.0,
v8,C1,8,0.0,-0.989,-0.989,3,-0.0064,0,30,116,-1397.0,
v8,C1,9,0.0,-1.064,-1.064,3,-0.0344,0,30,104,-1522.0,
v8,C1,10,0.0,-1.262,-1.262,3,-0.0406,0,30,111,-1526.0,
v8,C1,11,0.0,-1.018,-1.018,3,-0.0378,0,30,98,-1414.0,
v8,C1,12,0.0,-0.638,-0.638,3,-0.0327,0,30,120,-1612.0,
v8,C1,13,0.0,-1.607,-1.607,3,-0.0829,0,30,131,-1574.0,
v8,C1,14,0.0,-1.34,-1.34,3,-0.0301,0,30,132,-1456.0,
v8,C1,15,0.0,-0.623,-0.623,3,-0.0318,0,30,112,-1557.0,
v8,C1,16,0.0,-0.999,-0.999,3,-0.0552,0,30,120,-1594.0,
v8,C1,17,0.0,-1.715,-1.715,3,-0.0362,0,30,120,-1505.0,
v8,C1,18,0.0,-1.055,-1.055,3,0.0025,0,30,102,-1638.0,
