cual,arm,seed,sep,W_AA,W_AB,solap_A,lift_q4,splits,celdas,deaths,Rtot,t_techo
ref,C3,21,3.988,-2.988,1.0,1,0.3111,18,48,123,123.0,
ref,C3,22,3.984,-2.985,0.999,1,0.3286,25,55,104,136.0,
ref,C3,23,3.843,-2.852,0.991,1,0.349,15,45,123,89.0,
ref,C3,24,3.994,-2.994,1.0,0,0.3485,18,48,132,99.0,
ref,C3,25,3.956,-2.956,1.0,1,0.3208,20,50,111,114.0,
ref,C3,26,3.994,-2.994,1.0,0,0.3415,27,57,119,194.0,
ref,C3,27,3.989,-2.989,1.0,0,0.3049,20,50,116,171.0,
ref,C3,28,3.996,-2.996,1.0,1,0.2987,15,45,128,86.0,
ref,C3,29,3.973,-2.973,1.0,1,0.362,12,42,102,326.0,
ref,C3,30,3.988,-2.988,1.0,0,0.3541,18,48,125,161.0,
ref,C3,31,3.986,-2.987,0.999,1,0.3744,21,51,123,72.0,
ref,C3,32,3.994,-2.994,1.0,0,0.3663,23,53,125,159.0,
ref,C3,33,3.932,-2.932,1.0,0,0.3656,16,46,88,334.0,
ref,C3,34,3.948,-2.949,0.999,1,0.365,14,44,95,312.0,
ref,C3,35,3.971,-2.973,0.998,1,0.327,15,45,107,241.0,
ref,C3,36,3.99,-2.99,1.0,1,0.3621,29,59,114,137.0,
ref,C3,37,3.992,-2.992,1.0,0,0.2908,17,47,127,166.0,
ref,C3,38,3.97,-2.971,0.999,1,0.3694,15,45,115,215.0,
ref,C3,39,3.989,-2.989,1.0,1,0.3211,11,41,121,215.0,
ref,C3,40,3.988,-2.988,1.0,1,0.3543,14,44,101,292.0,
ref,C3C,21,-0.614,-1.496,-2.11,0,-0.0074,60,90,107,-1376.0,
ref,C3C,22,1.022,-1.828,-0.806,0,-0.0185,60,90,100,-1457.0,
ref,C3C,23,-2.092,0.0,-2.092,0,0.0006,60,90,134,-2136.0,67504
ref,C3C,24,0.297,-1.481,-1.184,0,-0.0249,60,90,116,-1462.0,
ref,C3C,25,-0.903,-1.317,-2.22,0,-0.0233,60,90,114,-1454.0,
ref,C3C,26,-1.833,0.0,-1.833,0,0.0062,60,90,108,-1693.0,91548
ref,C3C,27,0.347,-1.662,-1.315,0,-0.0388,60,90,119,-1412.0,
ref,C3C,28,0.741,-1.96,-1.219,0,-0.026,60,90,110,-1450.0,
ref,C3C,29,0.351,-0.884,-0.533,0,-0.0394,60,90,119,-1414.0,
ref,C3C,30,-1.244,-0.624,-1.868,0,0.0029,60,90,112,-1340.0,99608
ref,C3C,31,0.159,-1.093,-0.934,0,-0.0269,60,90,121,-1439.0,
ref,C3C,32,-1.733,0.0,-1.733,2,0.0055,60,90,140,-2057.0,58941
ref,C3C,33,-0.194,-1.299,-1.493,0,-0.052,60,90,123,-1379.0,
ref,C3C,34,0.911,-1.83,-0.919,0,0.0093,60,90,103,-1334.0,
ref,C3C,35,1.093,-1.093,0.0,1,0.0026,60,90,115,-1627.0,66626
ref,C3C,36,-0.715,-1.179,-1.894,0,-0.0456,60,90,108,-1349.0,
ref,C3C,37,-2.056,-0.551,-2.607,0,-0.0272,60,90,108,-1421.0,
ref,C3C,38,0.539,-1.687,-1.148,0,-0.042,60,90,107,-1525.0,
ref,C3C,39,2.246,-2.246,0.0,0,-0.0441,60,90,126,-1478.0,98925
