seed,comidaA,venenoB,venenoB_q1,venenoB_q2,venenoB_q3,venenoB_q4,tasaA_q1,tasaA_q2,tasaA_q3,tasaA_q4,tasaB_q1,tasaB_q2,tasaB_q3,tasaB_q4,visitasA,visitasB,muertes,W_A,W_B,W_C,W_D,WpA,WnA,WpB,WnB,comidaA_q1,comidaA_q2,comidaA_q3,comidaA_q4,visitasA_q1,visitasA_q2,visitasA_q3,visitasA_q4,visitasB_q1,visitasB_q2,visitasB_q3,visitasB_q4,mordC,mordD,visitasC,visitasD,WpC,WnC,WpD,WnD,solap_AB,solap_nB,T,vida_media,energia_neta
1,323,68,39,12,10,7,98.13,100.0,98.63,100.0,0.93,0.23,0.2,0.16,326,18780,134,1.0,-3.0,-1.0,-1.0,1.0,0.0,0.0,3.0,105,68,72,78,107,68,73,78,4206,5222,4963,4389,0,0,0,0,0.0,1.0,0.0,1.0,0,,100000,746.3,31.2
2,318,86,37,19,11,19,100.0,100.0,100.0,100.0,0.78,0.31,0.26,0.33,318,20880,143,1.0,-3.0,-0.67,-2.0,1.0,0.0,0.0,3.0,84,78,99,57,84,78,99,57,4746,6174,4286,5674,0,0,0,0,0.33,1.0,0.0,2.0,0,,100000,699.3,20.0
3,338,85,41,14,14,16,100.0,100.0,100.0,100.0,0.76,0.2,0.23,0.29,338,23900,134,1.0,-3.0,0.0,-2.0,1.0,0.0,0.0,3.0,118,74,61,85,118,74,61,85,5409,7002,5979,5510,0,0,0,0,0.0,0.0,0.0,2.0,0,,100000,746.3,36.4
4,354,77,33,18,11,15,99.06,100.0,100.0,98.91,0.76,0.24,0.19,0.29,356,22772,141,1.0,-3.0,0.0,-1.0,1.0,0.0,0.0,3.0,105,76,82,91,106,76,82,92,4335,7524,5683,5230,0,0,0,0,0.0,0.0,0.0,1.0,0,,100000,709.2,52.4
5,302,88,37,21,15,15,97.18,98.28,100.0,100.0,0.66,0.35,0.26,0.37,307,21458,161,1.0,-3.0,0.33,-0.67,1.0,0.0,0.0,3.0,138,57,59,48,142,58,59,48,5640,6022,5721,4075,0,0,0,0,0.33,0.0,0.33,1.0,0,,100000,621.1,6.4
6,333,83,40,15,12,16,100.0,98.68,100.0,100.0,0.6,0.33,0.2,0.32,334,22403,152,1.0,-3.0,0.0,-1.0,1.0,0.0,0.0,3.0,114,75,73,71,114,76,73,71,6693,4521,6118,5071,0,0,0,0,0.0,0.0,0.0,1.0,0,,100000,657.9,33.2
7,354,71,34,17,11,9,100.0,100.0,100.0,100.0,0.73,0.37,0.18,0.19,354,19910,130,1.0,-3.0,-1.0,-2.0,1.0,0.0,0.0,3.0,114,49,94,97,114,49,94,97,4629,4603,5968,4710,0,0,0,0,0.0,1.0,0.0,2.0,0,,100000,769.2,54.8
8,356,76,35,21,7,13,99.11,98.91,98.72,100.0,0.58,0.37,0.21,0.28,359,19725,135,1.0,-3.0,-2.0,-1.0,1.0,0.0,0.0,3.0,111,91,77,77,112,92,78,77,5997,5648,3375,4705,0,0,0,0,0.0,2.0,0.0,1.0,0,,100000,740.7,54.4
9,370,66,35,17,11,3,100.0,100.0,97.8,100.0,0.95,0.35,0.19,0.08,372,18098,133,1.0,-2.99,-1.0,-2.0,1.0,0.0,0.0,2.99,94,87,89,100,94,87,91,100,3689,4837,5659,3913,0,0,0,0,0.0,1.0,0.0,2.0,0,,100000,751.9,69.6
10,295,84,40,20,11,13,100.0,100.0,100.0,100.0,0.74,0.43,0.2,0.23,295,21135,162,1.0,-3.0,-1.0,0.0,1.0,0.0,0.0,3.0,101,65,56,73,101,65,56,73,5388,4633,5441,5673,0,0,0,0,0.0,1.0,0.0,0.0,0,,100000,617.3,2.4
