brazo,mod,bloque,solap_AB,lam,piso,seed,n1,n3,nB,nB3,wB_ext,wB_pre,wB_post,W_A,W_B,Wp_B,Wn_B,techo_B,splits,celdas,deaths
exp2,v7g,A,0,0.05,0.0,1,19,16,293,71,0.9999991869030759,,,1.0,-3.0,0.02,3.01,0,9,39,311
exp2,v7g,A,0,0.05,0.0,2,19,23,289,67,0.9999991010454716,,,1.0,-2.99,0.04,3.03,0,11,41,296
exp2,v7g,A,0,0.05,0.0,3,19,23,329,74,0.9999999136941473,,,1.0,-3.0,0.03,3.02,0,9,39,275
exp2,v7g,A,0,0.05,0.0,4,19,23,343,82,0.9999999824210032,,,1.0,-3.0,0.02,3.01,0,6,36,293
exp2,v7g,A,0,0.05,0.0,5,19,23,315,80,0.9999994746768615,,,1.0,-3.0,0.02,3.02,0,9,39,324
exp2,v7g,A,0,0.05,0.0,6,19,24,360,77,0.997169829811617,,,1.0,-3.0,0.03,3.03,0,10,40,307
exp2,v7g,A,0,0.05,0.0,7,19,23,344,73,0.9999999948472712,,,1.0,-3.0,0.03,3.02,0,6,36,294
exp2,v7g,A,0,0.05,0.0,8,19,23,326,83,0.9999997695113746,,,1.0,-3.0,0.02,3.01,0,10,40,327
exp2,v7g,A,0,0.05,0.0,9,19,23,362,69,0.9999999989612864,,,1.0,-2.99,0.03,3.03,0,6,36,291
exp2,v7g,A,0,0.05,0.0,10,19,20,323,57,0.9999999777579993,,,1.0,-2.99,0.04,3.03,0,9,39,295
exp2,v7g,A,0,0.05,0.0,11,19,23,328,70,0.9999999659451164,,,1.0,-2.99,0.03,3.03,0,6,36,292
exp2,v7g,A,0,0.05,0.0,12,19,23,382,75,0.9999999996316513,,,1.0,-3.0,0.02,3.02,0,6,36,281
exp2,v7g,A,0,0.05,0.0,13,19,23,363,74,0.9999999975501981,,,1.0,-3.0,0.03,3.02,0,8,38,279
exp2,v7g,A,0,0.05,0.0,14,19,26,294,72,0.999999267931786,,,1.0,-2.99,0.04,3.03,0,11,41,313
exp2,v7g,A,0,0.05,0.0,15,19,23,314,70,0.9999999039748193,,,1.0,-2.99,0.03,3.03,0,9,39,313
exp2,v7g,A,0,0.05,0.0,16,19,23,381,63,0.9999999998194239,,,1.0,-2.99,0.05,3.04,0,7,37,250
exp2,v7g,A,0,0.05,0.0,17,19,19,310,67,0.9999998808899555,,,1.0,-2.99,0.03,3.02,0,9,39,292
exp2,v7g,A,0,0.05,0.0,18,19,20,309,67,0.9999998332841686,,,1.0,-2.99,0.03,3.03,0,11,41,319
exp2,v7g,A,0,0.05,0.0,19,19,23,349,60,0.9996309603557327,,,1.0,-2.99,0.08,3.07,0,10,40,322
exp2,v7g,A,0,0.05,0.0,20,19,23,349,77,0.9999999806368378,,,1.0,-3.0,0.02,3.02,0,6,36,330
exp2,v7g,A,1,0.05,0.0,1,24,22,323,67,0.9999998049845569,,,1.0,-2.99,0.04,3.03,0,10,40,325
exp2,v7g,A,1,0.05,0.0,2,24,22,293,75,0.999997261750032,,,1.0,-3.0,0.02,3.02,0,10,40,351
exp2,v7g,A,1,0.05,0.0,3,57,25,250,65,0.9987265734824927,,,1.0,-2.99,0.05,3.04,0,17,47,350
exp2,v7g,A,1,0.05,0.0,4,50,1,171,71,-3.1541156904128336,,,1.0,-2.99,0.09,3.08,0,8,38,440
exp2,v7g,A,1,0.05,0.0,5,23,23,366,75,0.999999994527669,,,1.0,-3.0,0.02,3.02,0,8,38,286
exp2,v7g,A,1,0.05,0.0,6,24,1,144,82,-4.301125146390385,,,1.0,-2.99,0.06,3.06,0,7,37,423
exp2,v7g,A,1,0.05,0.0,7,25,3,132,74,-4.183011574882297,,,1.0,-2.99,0.08,3.08,0,6,36,408
