cond,seed,comida,veneno,comida_q1,veneno_q1,comida_q4,veneno_q4,ratio_q4,muertes,WbA,WbB
A_sin_aprendizaje,1,1431,1240,375,306,371,311,1.1929260450160772,208,0.0,0.0
A_sin_aprendizaje,2,2847,2859,677,711,762,712,1.0702247191011236,325,0.0,0.0
A_sin_aprendizaje,3,1692,1710,431,412,428,448,0.9553571428571429,252,0.0,0.0
A_sin_aprendizaje,4,1404,1350,335,325,336,318,1.0566037735849056,184,0.0,0.0
A_sin_aprendizaje,5,1801,1889,456,460,474,437,1.0846681922196797,231,0.0,0.0
A_sin_aprendizaje,6,1074,1055,249,219,246,269,0.9144981412639405,248,0.0,0.0
A_sin_aprendizaje,7,632,617,152,156,160,158,1.0126582278481013,202,0.0,0.0
A_sin_aprendizaje,8,2536,2612,597,676,654,640,1.021875,301,0.0,0.0
A_sin_aprendizaje,9,1466,1455,378,380,362,364,0.9945054945054945,188,0.0,0.0
A_sin_aprendizaje,10,502,465,144,119,126,115,1.0956521739130434,213,0.0,0.0
A_sin_aprendizaje,11,4805,4860,1208,1207,1245,1217,1.0230073952341825,484,0.0,0.0
A_sin_aprendizaje,12,1458,1500,385,387,380,371,1.0242587601078168,227,0.0,0.0
A_sin_aprendizaje,13,1309,1311,329,329,308,337,0.913946587537092,231,0.0,0.0
A_sin_aprendizaje,14,1058,1094,257,284,268,244,1.098360655737705,187,0.0,0.0
A_sin_aprendizaje,15,1446,1495,369,399,354,335,1.0567164179104478,220,0.0,0.0
A_sin_aprendizaje,16,593,636,144,173,163,174,0.9367816091954023,216,0.0,0.0
A_sin_aprendizaje,17,2612,2507,642,604,617,620,0.9951612903225806,291,0.0,0.0
A_sin_aprendizaje,18,1927,1927,521,475,457,483,0.9461697722567288,254,0.0,0.0
A_sin_aprendizaje,19,1517,1541,400,395,387,407,0.9508599508599509,213,0.0,0.0
A_sin_aprendizaje,20,470,432,129,112,113,100,1.13,183,0.0,0.0
B_aprende,1,251,20,74,13,61,2,30.5,140,0.303,-5.72
B_aprende,2,301,17,79,11,68,3,22.666666666666668,137,0.676,-5.381
B_aprende,3,232,22,59,15,64,2,32.0,137,0.295,-5.131
B_aprende,4,229,16,46,12,69,1,69.0,152,0.425,-4.602
B_aprende,5,262,15,96,10,72,3,24.0,159,0.634,-5.66
B_aprende,6,316,20,99,13,66,2,33.0,134,0.708,-5.383
B_aprende,7,235,20,55,15,70,1,70.0,148,0.299,-4.994
B_aprende,8,318,22,84,14,69,3,23.0,105,0.352,-5.309
B_aprende,9,273,16,73,12,53,1,53.0,151,0.368,-5.564
B_aprende,10,238,11,70,10,63,0,63.0,165,0.607,-4.964
B_aprende,11,267,18,65,12,64,1,64.0,145,0.62,-5.03
B_aprende,12,221,17,72,12,46,3,15.333333333333334,176,0.327,-5.563
B_aprende,13,268,18,43,11,63,1,63.0,155,0.614,-5.096
B_aprende,14,25,17,25,16,0,0,0.0,323,-5.461,-5.461
B_aprende,15,262,17,77,13,73,2,36.5,148,0.613,-4.997
B_aprende,16,256,16,79,12,59,2,29.5,161,0.652,-5.936
B_aprende,17,300,19,90,14,72,1,72.0,142,0.701,-5.628
B_aprende,18,269,23,57,19,88,1,88.0,150,0.622,-5.382
B_aprende,19,275,17,63,14,55,2,27.5,146,0.298,-5.357
B_aprende,20,288,17,84,13,72,4,18.0,148,0.671,-4.806
