cond,seed,comidaA,venenoB,venenoB_q1,venenoB_q4,tasaB_q4,tasaA_q4,muertes,W_A,W_B,WpA,WnA,WpB,WnB
A_sin,1,1325,1288,321,327,92.9,92.0,243,0.0,0.0,0.0,0.0,0.0,0.0
A_sin,2,3036,2974,712,772,86.94,88.6,301,0.0,0.0,0.0,0.0,0.0,0.0
A_sin,3,1748,1740,457,402,86.64,91.3,255,0.0,0.0,0.0,0.0,0.0,0.0
A_sin,4,1380,1355,334,358,90.4,88.4,213,0.0,0.0,0.0,0.0,0.0,0.0
A_sin,5,1865,1863,475,425,89.85,88.5,216,0.0,0.0,0.0,0.0,0.0,0.0
A_sin,6,1166,1171,249,296,88.36,89.2,259,0.0,0.0,0.0,0.0,0.0,0.0
A_sin,7,643,576,142,154,89.53,90.5,193,0.0,0.0,0.0,0.0,0.0,0.0
A_sin,8,2631,2549,647,644,87.62,85.5,295,0.0,0.0,0.0,0.0,0.0,0.0
A_sin,9,1419,1422,335,381,91.15,90.7,195,0.0,0.0,0.0,0.0,0.0,0.0
A_sin,10,501,491,136,132,89.8,88.3,220,0.0,0.0,0.0,0.0,0.0,0.0
A_sin,11,4838,4843,1208,1194,87.47,88.0,417,0.0,0.0,0.0,0.0,0.0,0.0
A_sin,12,1471,1368,310,387,87.76,91.7,195,0.0,0.0,0.0,0.0,0.0,0.0
A_sin,13,1228,1185,285,319,91.14,90.3,197,0.0,0.0,0.0,0.0,0.0,0.0
A_sin,14,1108,1193,325,279,90.29,89.8,205,0.0,0.0,0.0,0.0,0.0,0.0
A_sin,15,1365,1413,362,360,88.89,87.2,204,0.0,0.0,0.0,0.0,0.0,0.0
A_sin,16,583,596,174,141,90.38,89.6,209,0.0,0.0,0.0,0.0,0.0,0.0
A_sin,17,2519,2597,633,651,87.15,87.6,342,0.0,0.0,0.0,0.0,0.0,0.0
A_sin,18,1833,1876,413,493,89.96,87.4,256,0.0,0.0,0.0,0.0,0.0,0.0
A_sin,19,1544,1543,398,390,89.66,88.4,193,0.0,0.0,0.0,0.0,0.0,0.0
A_sin,20,436,425,122,91,93.81,92.1,220,0.0,0.0,0.0,0.0,0.0,0.0
B_aprende,1,323,68,39,7,0.16,100.0,134,1.0,-3.0,1.0,0.0,0.0,3.0
B_aprende,2,318,86,37,19,0.33,100.0,143,1.0,-3.0,1.0,0.0,0.0,3.0
B_aprende,3,338,85,41,16,0.29,100.0,134,1.0,-3.0,1.0,0.0,0.0,3.0
B_aprende,4,354,77,33,15,0.29,98.9,141,1.0,-3.0,1.0,0.0,0.0,3.0
B_aprende,5,302,88,37,15,0.37,100.0,161,1.0,-3.0,1.0,0.0,0.0,3.0
B_aprende,6,333,83,40,16,0.32,100.0,152,1.0,-3.0,1.0,0.0,0.0,3.0
B_aprende,7,354,71,34,9,0.19,100.0,130,1.0,-3.0,1.0,0.0,0.0,3.0
B_aprende,8,356,76,35,13,0.28,100.0,135,1.0,-3.0,1.0,0.0,0.0,3.0
B_aprende,9,370,66,35,3,0.08,100.0,133,1.0,-2.99,1.0,0.0,0.0,2.99
B_aprende,10,295,84,40,13,0.23,100.0,162,1.0,-3.0,1.0,0.0,0.0,3.0
B_aprende,11,332,77,38,8,0.15,100.0,140,1.0,-3.0,1.0,0.0,0.0,3.0
B_aprende,12,315,83,41,15,0.3,100.0,153,1.0,-3.0,1.0,0.0,0.0,3.0
B_aprende,13,342,84,40,19,0.33,100.0,153,1.0,-3.0,1.0,0.0,0.0,3.0
B_aprende,14,338,73,33,9,0.15,100.0,142,1.0,-3.0,1.0,0.0,0.0,3.0
B_aprende,15,293,79,39,11,0.27,100.0,154,1.0,-3.0,1.0,0.0,0.0,3.0
B_aprende,16,342,84,36,13,0.26,100.0,137,1.0,-3.0,1.0,0.0,0.0,3.0
B_aprende,17,340,76,36,8,0.21,100.0,137,1.0,-3.0,1.0,0.0,0.0,3.0
B_aprende,18,347,83,40,12,0.29,100.0,142,1.0,-3.0,1.0,0.0,0.0,3.0
B_aprende,19,366,81,37,14,0.32,100.0,150,1.0,-3.0,1.0,0.0,0.0,3.0
B_aprende,20,288,95,40,16,0.37,100.0,175,1.0,-3.0,1.0,0.0,0.0,3.0
