bloque,cond,plast,paso_t,lam,seed,t_techo,techo_primero,n_techo,deaths,mv_tot,mc_tot,splits,celdas,t_agot,err_max,Nstar,Mmax,W_A_fin,W_B_fin
C,C_F20,False,20000,0.0,1,50853,"('D', 'Wn', 50853)",2549,577,1086,2221,0,30,,2.491,3,4,,
C,C_F20,False,20000,0.0,2,86014,"('D', 'Wn', 86014)",1245,575,636,1647,0,30,,1.6826,4,9,,
C,C_F20,False,20000,0.0,3,211871,"('E12', 'Wn', 211871)",562,589,465,1453,0,30,,1.6304,7,7,,
C,C_F20,False,20000,0.0,4,165591,"('E09', 'Wp', 165591)",1199,559,625,1718,0,30,,1.8108,5,9,,
C,C_F20,False,20000,0.0,5,166523,"('E08', 'Wn', 166523)",1241,561,658,1772,0,30,,1.904,5,8,,
C,C_F20,False,20000,0.0,6,178993,"('D', 'Wn', 178993)",1845,532,922,2141,0,30,,1.9329,7,8,,
C,C_F20,False,20000,0.0,7,80425,"('D', 'Wn', 80425)",3556,583,1618,2819,0,30,,2.7654,3,6,,
C,C_F20,False,20000,0.0,8,47000,"('D', 'Wn', 47000)",3451,681,1679,2442,0,30,,2.5691,3,6,,
C,C_F20,False,20000,0.0,9,158706,"('E08', 'Wn', 158706)",880,639,595,1478,0,30,,2.11,6,9,,
C,C_F20,False,20000,0.0,10,114327,"('E06', 'Wn', 114327)",3233,612,1591,2550,0,30,,2.4578,5,6,,
C,C_F20,False,20000,0.0,11,114154,"('D', 'Wn', 114154)",1799,591,836,1828,0,30,,2.1614,3,7,,
C,C_F20,False,20000,0.0,12,251970,"('E08', 'Wn', 251970)",913,588,507,1584,0,30,,2.0363,7,7,,
C,C_F20,False,20000,0.0,13,137577,"('C', 'Wp', 137577)",1268,596,672,1652,0,30,,1.6651,7,7,,
C,C_F20,False,20000,0.0,14,89658,"('E06', 'Wn', 89658)",4542,630,2108,3257,0,30,,2.6485,4,6,,
C,C_F20,False,20000,0.0,15,140097,"('E08', 'Wn', 140097)",1399,563,656,1703,0,30,,1.6354,3,9,,
C,C_F20,False,20000,0.0,16,125624,"('E05', 'Wp', 125624)",2271,619,1153,2219,0,30,,2.3748,5,6,,
C,C_F20,False,20000,0.0,17,135374,"('E05', 'Wp', 135374)",3335,604,1644,2804,0,30,,2.4231,5,7,,
C,C_F20,False,20000,0.0,18,80580,"('E06', 'Wn', 80580)",2538,534,1119,2337,0,30,,2.2917,4,8,,
C,C_F20,False,20000,0.0,19,98356,"('E06', 'Wn', 98356)",3367,642,1584,2619,0,30,,2.6223,4,8,,
C,C_F20,False,20000,0.0,20,150009,"('C', 'Wp', 150009)",1103,566,468,1565,0,30,,1.7175,3,7,,
C,C_F20,False,20000,0.05,1,237020,"('E08', 'Wn', 237020)",44,539,875,1901,0,30,,2.1123,3,5,,
C,C_F20,False,20000,0.05,2,,,0,561,472,1552,0,30,,1.1868,4,11,,
C,C_F20,False,20000,0.05,3,349060,"('E14', 'Wn', 349060)",23,567,437,1524,0,30,,1.1203,7,6,,
C,C_F20,False,20000,0.05,4,222776,"('E06', 'Wn', 222776)",7,529,477,1586,0,30,,1.9869,5,11,,
C,C_F20,False,20000,0.05,5,,,0,537,480,1548,0,30,,1.5924,5,8,,
C,C_F20,False,20000,0.05,6,,,0,522,557,1721,0,30,,1.9221,7,8,,
C,C_F20,False,20000,0.05,7,318536,"('E12', 'Wn', 318536)",11,555,592,1717,0,30,,2.1297,3,7,,
C,C_F20,False,20000,0.05,8,133248,"('D', 'Wn', 133248)",62,654,685,1473,0,30,,1.9092,3,6,,
C,C_F20,False,20000,0.05,9,275749,"('E14', 'Wn', 275749)",14,559,579,1573,0,30,,2.0291,6,8,,
C,C_F20,False,20000,0.05,10,304963,"('E08', 'Wn', 304963)",18,661,538,1376,0,30,,1.4634,5,5,,
C,C_F20,False,20000,0.05,11,,,0,527,507,1633,0,30,,1.3913,3,8,,
C,C_F20,False,20000,0.05,12,,,0,651,341,1284,0,30,,1.7355,7,9,,
