cond,seed,mordB_q1,mordB_q2,mordB_q3,mordB_q4,WbB_q1,WbB_q2,WbB_q3,WbB_q4,WbA_pre,WbA_post,WbB_pre,WbB_post,muertes,tA,tB,extingue,comeB_post,hambre_1as_B,comida_q3,veneno_q3,comida_q4,veneno_q4
2A,1,10,3,0,0,-4.99,-4.65,-8.4,-8.4,6.56,-5.24,-4.65,-8.4,247,2800,,0,0,[],0,14,0,1
2A,2,8,0,0,0,-4.86,-4.86,-5.67,-5.67,8.32,-4.61,-4.86,-5.67,255,5200,,0,0,[],0,17,0,0
2A,3,12,1,2,0,-5.23,-3.81,-7.77,-7.77,7.59,-4.3,-3.81,-7.77,220,3800,,0,1,"[0.89, 0.9]",2,15,0,0
2A,4,12,2,2,0,-4.25,-3.76,-7.31,-7.31,5.96,-5.55,-3.76,-7.31,236,3800,,0,1,"[0.99, 0.83]",2,14,0,1
2A,5,7,2,2,0,-4.88,-4.88,-4.88,-4.88,9.0,-4.53,-4.88,-4.88,246,10200,,0,1,"[0.87, 0.84]",2,17,0,0
2A,6,6,1,1,0,-4.86,-4.86,-4.86,-5.67,9.0,-5.44,-4.86,-5.67,234,5800,,0,1,[0.94],1,17,0,2
2A,7,8,3,1,0,-3.84,-4.15,-8.33,-8.33,7.24,-5.62,-4.15,-8.33,239,4800,,0,1,[0.94],1,16,0,0
2A,8,10,4,1,0,-4.17,-4.42,-7.8,-7.8,6.21,-5.31,-4.42,-7.8,250,3800,,0,1,[0.98],1,14,0,1
2A,9,10,3,2,0,-4.76,-3.76,-7.26,-7.26,5.98,-5.05,-3.76,-7.26,236,5200,,0,1,"[0.94, 0.97]",2,14,0,0
2A,10,12,2,0,0,-5.68,-5.68,-5.68,-5.68,7.28,-4.82,-5.68,-5.68,247,4800,,0,0,[],0,15,0,0
2A,11,7,2,0,0,-4.86,-4.86,-4.86,-4.86,9.0,-4.73,-4.86,-4.86,249,5600,,0,0,[],0,16,0,1
2A,12,9,2,0,0,-4.41,-4.54,-8.39,-8.39,6.85,-5.07,-4.54,-8.39,258,4400,,0,0,[],0,15,0,0
2B,1,14,9,2,0,-7.01,-7.55,-9.0,-9.0,4.45,-8.17,-7.55,-9.0,228,1200,,0,1,"[0.81, 0.9]",2,20,0,1
2B,2,14,2,0,0,-8.1,-8.91,-8.91,-8.91,8.63,-8.25,-8.91,-8.91,251,2400,,0,0,[],0,21,0,0
2B,3,14,7,0,0,-7.05,-6.94,-9.0,-9.0,5.06,-8.32,-6.94,-9.0,230,7000,,0,0,[],0,20,0,1
2B,4,12,7,1,0,-7.51,-7.09,-8.94,-8.94,4.91,-7.71,-7.09,-8.94,236,1200,,0,1,[0.98],1,20,0,0
2B,5,12,0,3,0,-8.12,-8.12,-8.12,-8.12,8.22,-8.4,-8.12,-8.12,257,2200,,0,1,"[0.44, 0.96, 0.99]",3,19,0,2
2B,6,13,2,1,0,-8.09,-8.09,-8.0,-8.81,9.0,-8.74,-8.09,-8.81,222,4400,,0,1,[0.98],1,21,0,2
2B,7,15,5,1,0,-7.94,-7.56,-8.97,-8.97,4.44,-7.65,-7.56,-8.97,239,600,,0,1,[0.98],1,20,0,0
2B,8,15,2,2,0,-7.96,-7.66,-8.94,-8.94,2.04,-8.4,-7.66,-8.94,261,3000,,0,1,"[0.99, 0.98]",2,17,0,0
2B,9,13,7,5,0,-7.64,-7.28,-8.67,-8.67,4.54,-7.93,-7.28,-8.67,239,3800,,0,1,"[0.99, 0.99, 0.99]",5,20,0,0
2B,10,11,3,1,0,-8.11,-8.92,-8.92,-8.92,9.0,-7.83,-8.92,-8.92,247,3600,,0,1,[0.98],1,21,0,0
2B,11,12,0,0,0,-8.91,-8.91,-8.91,-8.91,9.0,-8.73,-8.91,-8.91,249,3000,,0,0,[],0,22,0,0
2B,12,14,8,3,0,-7.21,-7.25,-8.94,-8.94,4.75,-7.67,-7.25,-8.94,247,5800,,0,1,"[0.91, 0.41, 0.0]",3,20,0,0
2C,1,25,8,0,0,-3.86,-3.66,-7.52,-7.79,7.71,-4.65,-3.66,-7.79,257,9400,,0,0,[],0,43,0,3
2C,2,17,2,6,0,-4.22,-4.76,-4.67,-4.67,9.0,-4.52,-4.76,-4.67,263,11200,,0,1,"[0.96, 0.77, 0.96]",6,50,0,2
2C,3,23,9,2,0,-3.83,-3.95,-7.71,-7.8,7.43,-4.61,-3.95,-7.8,256,9400,,0,1,"[0.96, 0.81]",2,44,0,1
2C,4,21,10,3,0,-3.68,-3.85,-7.46,-7.82,7.65,-4.52,-3.85,-7.82,261,17400,,0,1,"[0.89, 0.94, 0.61]",3,42,0,4
2C,5,18,4,1,0,-4.31,-5.12,-5.12,-5.12,9.0,-4.55,-5.12,-5.12,267,8600,,0,1,[0.53],1,49,0,2
2C,6,20,3,2,1,-4.74,-4.74,-4.74,-4.65,9.0,-4.34,-4.74,-4.65,251,14400,,0,1,"[0.9, 0.81, 0.83]",2,49,1,1
2C,7,26,9,4,0,-3.82,-3.71,-7.53,-7.71,7.86,-4.38,-3.71,-7.71,251,7000,,0,1,"[0.78, 0.93, 0.98]",4,45,0,2
2C,8,27,7,4,0,-3.67,-3.47,-6.48,-7.38,7.56,-4.9,-3.47,-7.38,265,18200,,0,1,"[0.95, 0.88, 0.83]",4,37,0,10
2C,9,28,7,6,0,-4.3,-3.17,-7.06,-7.24,8.75,-4.67,-3.17,-7.24,253,10400,,0,1,"[0.86, 0.82, 0.72]",6,49,0,2
2C,10,18,4,3,9,-4.32,-4.32,-4.14,-3.32,9.0,-4.28,-4.32,-3.32,240,11400,,0,1,"[0.92, 0.93, 0.94]",3,49,9,1
2C,11,14,5,3,6,-3.67,-4.48,-4.39,-3.85,9.0,-4.25,-4.48,-3.85,234,16600,,0,1,"[0.93, 0.85, 0.11]",3,48,6,2
2C,12,28,9,2,0,-3.8,-3.84,-7.8,-7.8,7.73,-4.16,-3.84,-7.8,256,11200,,0,1,"[0.78, 0.61]",2,45,0,0
2D,1,18,1,0,3,-4.3,-4.57,-4.57,-4.3,9.0,-4.42,-4.57,-4.3,257,11600,,0,1,"[0.84, 0.69, 0.97]",0,49,3,1
2D,2,17,2,6,0,-4.22,-4.76,-4.67,-4.67,9.0,-4.52,-4.76,-4.67,263,11200,,0,1,"[0.96, 0.77, 0.96]",6,50,0,2
2D,3,17,2,2,1,-4.57,-4.57,-4.48,-4.39,9.0,-4.34,-4.57,-4.39,241,15600,,0,1,"[0.89, 0.67, 0.97]",2,48,1,2
2D,4,18,2,2,0,-4.3,-4.84,-4.75,-4.75,9.0,-4.32,-4.84,-4.75,252,12400,,0,1,"[0.43, 0.93]",2,49,0,1
2D,5,18,4,1,0,-4.31,-5.12,-5.12,-5.12,9.0,-4.55,-5.12,-5.12,267,8600,,0,1,[0.53],1,49,0,2
2D,6,20,3,2,1,-4.74,-4.74,-4.74,-4.65,9.0,-4.34,-4.74,-4.65,251,14400,,0,1,"[0.9, 0.81, 0.83]",2,49,1,1
2D,7,20,0,2,7,-4.29,-4.29,-4.2,-3.57,9.0,-4.61,-4.29,-3.57,233,11600,,0,1,"[0.86, 0.52, 0.8]",2,49,7,2
2D,8,18,3,3,4,-4.14,-4.41,-4.14,-3.78,8.82,-4.3,-4.41,-3.78,260,8000,,0,1,"[0.94, 0.87, 0.83]",3,49,4,0
2D,9,20,5,3,0,-4.29,-5.1,-5.01,-5.01,9.0,-4.24,-5.1,-5.01,260,12200,,0,1,"[0.77, 0.91, 0.93]",3,48,0,2
2D,10,18,4,3,9,-4.32,-4.32,-4.14,-3.32,9.0,-4.28,-4.32,-3.32,240,11400,,0,1,"[0.92, 0.93, 0.94]",3,49,9,1
2D,11,14,5,3,6,-3.67,-4.48,-4.39,-3.85,9.0,-4.25,-4.48,-3.85,234,16600,,0,1,"[0.93, 0.85, 0.11]",3,48,6,2
2D,12,18,5,1,0,-4.57,-4.84,-4.84,-4.84,9.0,-4.32,-4.84,-4.84,262,14800,,0,1,[0.95],1,47,0,3
2E,1,31,2,2,1,-7.53,-7.8,-7.71,-7.62,9.0,-7.56,-7.8,-7.62,255,13400,,0,1,"[0.72, 1.0, 0.98]",2,54,1,8
2E,2,31,3,0,0,-7.73,-8.0,-8.0,-8.0,9.0,-7.64,-8.0,-8.0,263,8800,,0,0,[],0,60,0,2
2E,3,29,5,2,3,-6.99,-7.53,-7.44,-7.35,9.0,-7.41,-7.53,-7.35,244,20200,,0,1,"[1.0, 0.48, 0.89]",2,49,3,13
2E,4,30,4,5,2,-7.18,-7.72,-7.45,-7.54,9.0,-7.74,-7.72,-7.54,229,12800,,0,1,"[0.68, 0.96, 0.76]",5,49,2,15
2E,5,31,0,8,1,-7.55,-7.55,-7.37,-7.28,9.0,-7.94,-7.55,-7.28,261,14200,,0,1,"[0.84, 0.04, 0.73]",8,57,1,8
2E,6,30,3,6,1,-7.52,-7.79,-7.61,-7.52,9.0,-7.82,-7.79,-7.52,250,5800,,0,1,"[0.55, 0.0, 0.98]",6,59,1,5
2E,7,29,2,2,1,-7.71,-7.98,-7.98,-7.89,9.0,-7.71,-7.98,-7.89,259,7000,,0,1,"[0.89, 0.99, 1.0]",2,60,1,3
2E,8,30,3,2,2,-7.46,-8.0,-8.0,-7.91,9.0,-7.6,-8.0,-7.91,263,9200,,0,1,"[0.93, 0.54, 0.99]",2,57,2,6
2E,9,31,3,7,18,-7.52,-7.79,-7.52,-5.9,8.82,-7.71,-7.79,-5.9,239,8600,,0,1,"[0.92, 0.75, 0.42]",7,59,18,4
2E,10,31,3,4,1,-7.82,-7.82,-7.64,-7.55,8.82,-7.67,-7.82,-7.55,244,13200,,0,1,"[0.98, 0.68, 0.58]",4,58,1,4
2E,11,29,3,1,1,-7.71,-7.71,-7.62,-7.53,9.0,-7.38,-7.71,-7.53,249,10200,,0,1,"[0.99, 1.0]",1,57,1,4
