WbA_post,WbA_pre,WbB_post,WbB_pre,WbB_q1,WbB_q2,WbB_q3,WbB_q4,comeB_post,comida_q1,comida_q2,comida_q3,comida_q4,cond,extingue,hambre_1as_B,mordB_q1,mordB_q2,mordB_q3,mordB_q4,muertes,seed,tA,tB,veneno_q3,veneno_q4
-5.24,6.56,-8.4,-4.65,-4.99,-4.65,-8.4,-8.4,0,,,0,0,2A,0,[],10,3,0,0,247,1,2800,,14,1
-4.61,8.32,-5.67,-4.86,-4.86,-4.86,-5.67,-5.67,0,,,0,0,2A,0,[],8,0,0,0,255,2,5200,,17,0
-4.3,7.59,-7.77,-3.81,-5.23,-3.81,-7.77,-7.77,1,,,2,0,2A,0,"[0.89, 0.9]",12,1,2,0,220,3,3800,,15,0
-5.55,5.96,-7.31,-3.76,-4.25,-3.76,-7.31,-7.31,1,,,2,0,2A,0,"[0.99, 0.83]",12,2,2,0,236,4,3800,,14,1
-4.53,9.0,-4.88,-4.88,-4.88,-4.88,-4.88,-4.88,1,,,2,0,2A,0,"[0.87, 0.84]",7,2,2,0,246,5,10200,,17,0
-5.44,9.0,-5.67,-4.86,-4.86,-4.86,-4.86,-5.67,1,,,1,0,2A,0,[0.94],6,1,1,0,234,6,5800,,17,2
-5.62,7.24,-8.33,-4.15,-3.84,-4.15,-8.33,-8.33,1,,,1,0,2A,0,[0.94],8,3,1,0,239,7,4800,,16,0
-5.31,6.21,-7.8,-4.42,-4.17,-4.42,-7.8,-7.8,1,,,1,0,2A,0,[0.98],10,4,1,0,250,8,3800,,14,1
-5.05,5.98,-7.26,-3.76,-4.76,-3.76,-7.26,-7.26,1,,,2,0,2A,0,"[0.94, 0.97]",10,3,2,0,236,9,5200,,14,0
-4.82,7.28,-5.68,-5.68,-5.68,-5.68,-5.68,-5.68,0,,,0,0,2A,0,[],12,2,0,0,247,10,4800,,15,0
-4.73,9.0,-4.86,-4.86,-4.86,-4.86,-4.86,-4.86,0,,,0,0,2A,0,[],7,2,0,0,249,11,5600,,16,1
-5.07,6.85,-8.39,-4.54,-4.41,-4.54,-8.39,-8.39,0,,,0,0,2A,0,[],9,2,0,0,258,12,4400,,15,0
-8.17,4.45,-9.0,-7.55,-7.01,-7.55,-9.0,-9.0,1,,,2,0,2B,0,"[0.81, 0.9]",14,9,2,0,228,1,1200,,20,1
-8.25,8.63,-8.91,-8.91,-8.1,-8.91,-8.91,-8.91,0,,,0,0,2B,0,[],14,2,0,0,251,2,2400,,21,0
