cond,seed,mordB_q1,mordB_q2,mordB_q3,mordB_q4,WbB_q1,WbB_q2,WbB_q3,WbB_q4,WbA_pre,WbA_post,WbB_pre,WbB_post,muertes,tA,tB,extingue,comeB_post,hambre_1as_B,comida_q3,veneno_q3,comida_q4,veneno_q4
2A,1,10,3,0,0,-4.99,-4.65,-8.4,-8.4,6.56,-5.24,-4.65,-8.4,247,2800,,0,0,[],0,14,0,1
2A,2,8,0,0,0,-4.86,-4.86,-5.67,-5.67,8.32,-4.61,-4.86,-5.67,255,5200,,0,0,[],0,17,0,0
2A,3,12,1,2,0,-5.23,-3.81,-7.77,-7.77,7.59,-4.3,-3.81,-7.77,220,3800,,0,1,"[0.89, 0.9]",2,15,0,0
2A,4,12,2,2,0,-4.25,-3.76,-7.31,-7.31,5.96,-5.55,-3.76,-7.31,236,3800,,0,1,"[0.99, 0.83]",2,14,0,1
2A,5,7,2,2,0,-4.88,-4.88,-4.88,-4.88,9.0,-4.53,-4.88,-4.88,246,10200,,0,1,"[0.87, 0.84]",2,17,0,0
2A,6,6,1,1,0,-4.86,-4.86,-4.86,-5.67,9.0,-5.44,-4.86,-5.67,234,5800,,0,1,[0.94],1,17,0,2
2A,7,8,3,1,0,-3.84,-4.15,-8.33,-8.33,7.24,-5.62,-4.15,-8.33,239,4800,,0,1,[0.94],1,16,0,0
2A,8,10,4,1,0,-4.17,-4.42,-7.8,-7.8,6.21,-5.31,-4.42,-7.8,250,3800,,0,1,[0.98],1,14,0,1
2A,9,10,3,2,0,-4.76,-3.76,-7.26,-7.26,5.98,-5.05,-3.76,-7.26,236,5200,,0,1,"[0.94, 0.97]",2,14,0,0
2A,10,12,2,0,0,-5.68,-5.68,-5.68,-5.68,7.28,-4.82,-5.68,-5.68,247,4800,,0,0,[],0,15,0,0
2A,11,7,2,0,0,-4.86,-4.86,-4.86,-4.86,9.0,-4.73,-4.86,-4.86,249,5600,,0,0,[],0,16,0,1
2A,12,9,2,0,0,-4.41,-4.54,-8.39,-8.39,6.85,-5.07,-4.54,-8.39,258,4400,,0,0,[],0,15,0,0
2B,1,14,9,2,0,-7.01,-7.55,-9.0,-9.0,4.45,-8.17,-7.55,-9.0,228,1200,,0,1,"[0.81, 0.9]",2,20,0,1
2B,2,14,2,0,0,-8.1,-8.91,-8.91,-8.91,8.63,-8.25,-8.91,-8.91,251,2400,,0,0,[],0,21,0,0
2B,3,14,7,0,0,-7.05,-6.94,-9.0,-9.0,5.06,-8.32,-6.94,-9.0,230,7000,,0,0,[],0,20,0,1
2B,4,12,7,1,0,-7.51,-7.09,-8.94,-8.94,4.91,-7.71,-7.09,-8.94,236,1200,,0,1,[0.98],1,20,0,0
2B,5,12,0,3,0,-8.12,-8.12,-8.12,-8.12,8.22,-8.4,-8.12,-8.12,257,2200,,0,1,"[0.44, 0.96, 0.99]",3,19,0,2
2B,6,13,2,1,0,-8.09,-8.09,-8.0,-8.81,9.0,-8.74,-8.09,-8.81,222,4400,,0,1,[0.98],1,21,0,2
2B,7,15,5,1,0,-7.94,-7.56,-8.97,-8.97,4.44,-7.65,-7.56,-8.97,239,600,,0,1,[0.98],1,20,0,0
2B,8,15,2,2,0,-7.96,-7.66,-8.94,-8.94,2.04,-8.4,-7.66,-8.94,261,3000,,0,1,"[0.99, 0.98]",2,17,0,0
2B,9,13,7,5,0,-7.64,-7.28,-8.67,-8.67,4.54,-7.93,-7.28,-8.67,239,3800,,0,1,"[0.99, 0.99, 0.99]",5,20,0,0
2B,10,11,3,1,0,-8.11,-8.92,-8.92,-8.92,9.0,-7.83,-8.92,-8.92,247,3600,,0,1,[0.98],1,21,0,0
2B,11,12,0,0,0,-8.91,-8.91,-8.91,-8.91,9.0,-8.73,-8.91,-8.91,249,3000,,0,0,[],0,22,0,0
2B,12,14,8,3,0,-7.21,-7.25,-8.94,-8.94,4.75,-7.67,-7.25,-8.94,247,5800,,0,1,"[0.91, 0.41, 0.0]",3,20,0,0
