seed,patron,n_activos,nA,nB,W_obs,W_pred,residuo,W_pred_nominal,residuo_nominal,hamming_A,hamming_B,compartidos_A,compartidos_B,W_A_real,W_B_real,es_patron_nulo,code_X
1,000000,0,1,0,0.333333333333,0.333333333333,5.55111512313e-17,0.333333333333,-1.96509475359e-14,3,3,0,0,1,-2.99508033045,1,27 28 29
1,000001,1,0,0,0,0,0,0,0,4,4,0,0,1,-2.99508033045,0,1 4 22
1,000010,1,0,0,0,0,0,0,0,4,2,0,1,1,-2.99508033045,0,2 4 24
1,000011,2,0,0,0,0,0,0,0,5,3,0,1,1,-2.99508033045,0,1 4 24
1,000100,1,0,0,0,0,0,0,0,2,4,1,0,1,-2.99508033045,0,7 11 27
1,000101,2,0,0,0,0,0,0,0,3,5,1,0,1,-2.99508033045,0,6 9 15
1,000110,2,0,0,0,0,0,0,0,3,3,1,1,1,-2.99508033045,0,5 7 21
1,000111,3,0,0,0,0,0,0,0,4,4,1,1,1,-2.99508033045,0,7 15 21
1,001000,1,0,2,-1.9967202203,-1.9967202203,0,-2,0.00327977969997,4,2,0,1,1,-2.99508033045,0,9 12 25
1,001001,2,0,0,0,0,0,0,0,5,3,0,1,1,-2.99508033045,0,1 6 9
1,001010,2,0,2,-1.9967202203,-1.9967202203,0,-2,0.00327977969997,5,1,0,2,1,-2.99508033045,0,1 3 25
1,001011,3,0,1,-0.99836011015,-0.99836011015,0,-1,0.00163988984999,6,2,0,2,1,-2.99508033045,0,1 15 25
1,001100,2,1,0,0.333333333333,0.333333333333,5.55111512313e-17,0.333333333333,-1.96509475359e-14,3,3,1,1,1,-2.99508033045,0,6 11 28
1,001101,3,0,0,0,0,0,0,0,4,4,1,1,1,-2.99508033045,0,6 9 15
1,001110,3,0,1,-0.99836011015,-0.99836011015,0,-1,0.00163988984999,4,2,1,2,1,-2.99508033045,0,3 11 15
1,001111,4,0,0,0,0,0,0,0,5,3,1,2,1,-2.99508033045,0,1 6 15
1,010000,1,0,1,-0.99836011015,-0.99836011015,0,-1,0.00163988984999,2,4,1,0,1,-2.99508033045,0,5 8 25
1,010001,2,1,0,0.333333333333,0.333333333333,5.55111512313e-17,0.333333333333,-1.96509475359e-14,3,5,1,0,1,-2.99508033045,0,4 10 22
1,010010,2,0,0,0,0,0,0,0,3,3,1,1,1,-2.99508033045,0,2 4 5
