bloque,cond,seed,residuo_mediano,acc_signo,ba_pb,n_techo,splits,deaths
G,azar,1,,0.7,0.5989,0,49,294
G,azar,2,,0.5,0.5433,0,41,325
G,azar,3,,0.4,0.4415,15,45,273
G,azar,4,,1.0,0.9122,0,29,316
G,azar,5,,0.5,0.4901,0,60,293
G,azar,6,,0.3,0.5339,0,56,309
G,azar,7,,0.5,0.5031,0,51,276
G,azar,8,,0.5,0.5686,0,60,293
G,azar,9,,0.3,0.3343,0,59,298
G,azar,10,,0.4,0.4611,0,30,291
G,azar,11,,0.5,0.582,0,60,322
G,azar,12,,0.4,0.4095,0,56,258
G,azar,13,,0.5,0.6144,0,60,246
G,azar,14,,0.5,0.4113,0,55,315
G,azar,15,,0.4,0.4717,0,54,262
G,azar,16,,0.3,0.5354,0,51,259
G,azar,17,,0.4,0.4118,0,60,253
G,azar,18,,0.6,0.6008,0,57,264
G,azar,19,,0.4,0.3948,0,60,336
G,azar,20,,0.5,0.2963,0,60,350
G,px0,1,1.5583,0.9,0.8986,0,22,260
G,px0,2,1.20568,0.9,0.882,0,31,255
G,px0,3,1.009,0.9,0.9117,0,33,260
G,px0,4,1.53838,0.8,0.6704,0,37,237
G,px0,5,2.22496,0.8,0.8066,0,30,271
G,px0,6,1.17444,0.7,0.8759,0,42,254
G,px0,7,1.25083,0.8,0.8416,0,33,251
G,px0,8,0.84393,0.7,0.6944,0,30,262
G,px0,9,2.75535,0.8,0.8294,0,28,273
G,px0,10,1.27352,0.8,0.6247,0,28,261
G,px0,11,2.55652,0.9,0.9048,0,19,277
G,px0,12,1.54531,1.0,0.9933,0,23,274
G,px0,13,1.86787,0.6,0.5424,0,25,287
G,px0,14,0.81102,0.6,0.6717,0,26,275
G,px0,15,2.03825,0.6,0.7854,0,36,278
G,px0,16,3.1408,0.7,0.8603,0,31,274
G,px0,17,1.01455,0.6,0.724,0,32,256
G,px0,18,0.3942,0.8,0.7295,0,38,255
G,px0,19,0.88892,0.7,0.7884,0,29,273
G,px0,20,1.64655,0.7,0.7349,0,40,294
G,xor01,1,,0.25,0.1434,0,59,257
G,xor01,2,,0.1875,0.2549,0,49,232
G,xor01,3,,0.5,0.5141,0,60,235
G,xor01,4,,0.3125,0.2922,0,60,237
G,xor01,5,,0.4375,0.3311,0,60,248
G,xor01,6,,0.5,0.5467,0,60,226
G,xor01,7,,0.5,0.6773,0,59,232
G,xor01,8,,0.5,0.6205,0,42,214
G,xor01,9,,0.375,0.2655,0,54,252
G,xor01,10,,0.3125,0.3588,0,60,231
G,xor01,11,,0.3125,0.2108,0,60,255
G,xor01,12,,0.3125,0.4574,0,52,234
G,xor01,13,,0.6875,0.6345,0,60,248
G,xor01,14,,0.4375,0.5359,0,41,227
G,xor01,15,,0.5625,0.62,0,43,259
G,xor01,16,,0.375,0.4248,5,60,213
G,xor01,17,,0.5,0.6595,0,50,211
G,xor01,18,,0.5625,0.4418,0,60,248
G,xor01,19,,0.5,0.6221,0,47,231
G,xor01,20,,0.3125,0.3249,0,48,374
VD,E1,1,0.00984,,,0,0,137
VD,E1,2,0.01622,,,0,0,124
VD,E1,3,0.00896,,,0,0,127
VD,E1,4,0.00675,,,0,0,128
VD,E1,5,0.00742,,,0,0,130
VD,E1,6,0.01306,,,0,0,127
VD,E1,7,0.01791,,,0,0,123
VD,E1,8,0.00675,,,0,0,126
VD,E1,9,0.00509,,,0,0,147
VD,E1,10,0.00317,,,0,0,152
VD,E1,11,0.0,,,0,0,133
VD,E1,12,0.0,,,0,0,145
VD,E1,13,0.00559,,,0,0,133
VD,E1,14,0.01306,,,0,0,142
VD,E1,15,0.00614,,,0,0,146
VD,E1,16,0.00383,,,0,0,141
VD,E1,17,0.00614,,,0,0,131
VD,E1,18,0.01483,,,0,0,124
VD,E1,19,0.01306,,,0,0,116
VD,E1,20,0.0,,,0,0,139
VD,E2J,1,0.20368,,,0,0,103
VD,E2J,2,0.20279,,,0,0,118
VD,E2J,3,0.19069,,,0,0,101
VD,E2J,4,0.19994,,,0,0,112
VD,E2J,5,0.20352,,,0,0,96
VD,E2J,6,0.20273,,,0,0,102
VD,E2J,7,0.39609,,,0,0,114
VD,E2J,8,0.39538,,,0,0,99
VD,E2J,9,0.19768,,,0,0,119
VD,E2J,10,0.21405,,,0,0,105
VD,E2J,11,0.39638,,,0,0,116
VD,E2J,12,0.20494,,,0,0,114
VD,E2J,13,0.20039,,,0,0,122
VD,E2J,14,0.19639,,,0,0,127
VD,E2J,15,0.18048,,,0,0,110
VD,E2J,16,0.20081,,,0,0,116
VD,E2J,17,0.49685,,,0,0,109
VD,E2J,18,0.19704,,,0,0,112
VD,E2J,19,0.2015,,,0,0,98
VD,E2J,20,0.20358,,,0,0,112
VD,E2K,1,0.67779,,,0,5,115
VD,E2K,2,0.63229,,,0,3,109
VD,E2K,3,0.63603,,,0,3,98
VD,E2K,4,0.65896,,,0,5,94
VD,E2K,5,0.20793,,,0,2,107
VD,E2K,6,0.67724,,,0,4,110
VD,E2K,7,0.6651,,,0,3,89
VD,E2K,8,0.99471,,,0,5,93
VD,E2K,9,0.63046,,,0,4,110
VD,E2K,10,0.25693,,,0,2,115
VD,E2K,11,0.41645,,,0,2,94
VD,E2K,12,0.41541,,,0,3,119
VD,E2K,13,1.20635,,,0,5,102
VD,E2K,14,0.22481,,,0,4,107
VD,E2K,15,0.61424,,,0,4,111
VD,E2K,16,0.79134,,,0,2,106
VD,E2K,17,0.59592,,,0,3,88
VD,E2K,18,0.48751,,,0,2,117
VD,E2K,19,0.8874,,,0,2,116
VD,E2K,20,0.64226,,,0,3,113
