esc,hb,seed,W_A,W_B,deaths,dq,mordB_q4,t_ext,veneno_2a,comida_2a
E1,0.0,1,1.0,-2.55,144,"[38, 39, 33, 34]",1,,2,153
E1,0.0,2,1.0,-2.45,161,"[30, 46, 33, 52]",0,,3,114
E1,0.0,3,1.0,-2.5,142,"[39, 34, 39, 30]",1,,3,150
E1,0.0,4,1.0,-2.5,145,"[41, 37, 32, 35]",1,,1,150
E1,0.0,5,1.0,-2.55,164,"[31, 43, 46, 44]",0,,2,101
E1,0.0,6,1.0,-2.55,138,"[39, 35, 27, 37]",2,,2,172
E1,0.0,7,1.0,-2.45,158,"[42, 36, 45, 35]",2,,3,132
E1,0.0,8,1.0,-2.62,168,"[39, 49, 38, 42]",1,,5,127
E1,0.0,9,1.0,-2.5,156,"[49, 35, 33, 39]",1,,1,132
E1,0.0,10,1.0,-2.59,170,"[46, 40, 39, 45]",1,,1,105
E1,0.0,11,1.0,-2.5,131,"[36, 35, 21, 39]",2,,2,153
E1,0.0,12,1.0,-2.5,148,"[39, 42, 29, 38]",2,,4,148
E1,0.0,13,1.0,-2.55,154,"[44, 33, 33, 44]",0,,1,119
E1,0.0,14,1.0,-2.62,156,"[35, 33, 43, 45]",3,,6,123
E1,0.0,15,1.0,-2.59,170,"[43, 38, 46, 43]",1,,2,122
E1,0.0,16,1.0,-2.59,164,"[39, 44, 45, 36]",3,,3,116
E1,0.0,17,1.0,-2.59,145,"[37, 40, 34, 34]",3,,4,131
E1,0.0,18,1.0,-2.5,148,"[44, 38, 30, 36]",0,,0,166
E1,0.0,19,1.0,-2.59,163,"[37, 42, 42, 42]",1,,4,105
E1,0.0,20,1.0,-2.59,162,"[38, 48, 42, 34]",1,,2,120
E1,0.5,1,1.0,-2.69,156,"[39, 28, 47, 42]",1,,5,108
E1,0.5,2,1.0,-2.74,167,"[44, 50, 39, 34]",0,,2,134
E1,0.5,3,1.0,-2.69,176,"[38, 54, 51, 33]",2,,3,119
E1,0.5,4,1.0,-2.72,153,"[43, 29, 38, 43]",3,,5,144
E1,0.5,5,1.0,-2.66,148,"[24, 55, 34, 35]",1,,3,146
E1,0.5,6,1.0,-2.69,136,"[30, 30, 36, 40]",1,,4,139
E1,0.5,7,1.0,-2.62,130,"[34, 31, 33, 32]",1,,2,146
E1,0.5,8,1.0,-2.62,132,"[33, 37, 27, 35]",1,,4,160
E1,0.5,9,1.0,-2.69,175,"[43, 35, 48, 49]",1,,6,125
E1,0.5,10,1.0,-2.79,174,"[38, 37, 45, 54]",2,,5,102
E1,0.5,11,1.0,-2.72,137,"[37, 36, 33, 31]",1,,3,146
E1,0.5,12,1.0,-2.62,140,"[34, 33, 36, 37]",2,,3,111
E1,0.5,13,1.0,-2.74,137,"[31, 39, 37, 30]",3,,5,142
E1,0.5,14,1.0,-2.72,155,"[31, 40, 41, 43]",3,,6,131
E1,0.5,15,1.0,-2.76,163,"[39, 33, 42, 49]",2,,3,97
E1,0.5,16,1.0,-2.72,156,"[34, 40, 40, 42]",2,,4,123
E1,0.5,17,1.0,-2.69,155,"[37, 41, 38, 39]",0,,3,142
E1,0.5,18,1.0,-2.72,148,"[32, 41, 38, 37]",1,,4,146
E1,0.5,19,1.0,-2.62,169,"[46, 39, 42, 42]",1,,2,158
E1,0.5,20,1.0,-2.69,142,"[36, 31, 37, 38]",1,,2,147
E1,1.0,1,1.0,-2.88,175,"[55, 49, 32, 39]",5,,6,143
E1,1.0,2,1.0,-2.79,176,"[46, 37, 39, 54]",1,,5,95
E1,1.0,3,1.0,-2.82,129,"[31, 31, 31, 36]",2,,3,128
E1,1.0,4,1.0,-2.87,153,"[31, 41, 36, 45]",3,,5,119
E1,1.0,5,1.0,-2.85,141,"[35, 39, 33, 34]",2,,3,170
E1,1.0,6,1.0,-2.85,151,"[37, 33, 41, 40]",4,,6,134
E1,1.0,7,1.0,-2.76,164,"[35, 47, 38, 44]",0,,1,129
E1,1.0,8,1.0,-2.79,135,"[36, 37, 28, 34]",2,,3,149
E1,1.0,9,1.0,-2.87,170,"[45, 40, 44, 41]",2,,5,106
E1,1.0,10,1.0,-2.92,168,"[42, 47, 35, 44]",3,,7,139
E1,1.0,11,1.0,-2.85,145,"[37, 29, 43, 36]",3,,6,133
E1,1.0,12,1.0,-2.74,151,"[40, 27, 42, 42]",1,,2,109
E1,1.0,13,1.0,-2.85,146,"[36, 41, 39, 30]",3,,6,139
E1,1.0,14,1.0,-2.84,149,"[35, 39, 44, 31]",2,,6,150
E1,1.0,15,1.0,-2.81,163,"[32, 44, 52, 35]",3,,4,138
E1,1.0,16,1.0,-2.87,141,"[28, 43, 38, 32]",2,,6,145
E1,1.0,17,1.0,-2.87,128,"[27, 35, 33, 33]",1,,6,156
E1,1.0,18,1.0,-2.88,148,"[39, 39, 36, 34]",3,,5,156
E1,1.0,19,1.0,-2.88,151,"[45, 36, 42, 28]",2,,7,153
E1,1.0,20,1.0,-2.87,161,"[37, 36, 54, 34]",3,,10,111
E1,1.5,1,1.0,-2.96,139,"[28, 33, 41, 37]",4,,14,143
E1,1.5,2,1.0,-2.96,171,"[38, 49, 36, 48]",4,,9,120
E1,1.5,3,1.0,-2.94,143,"[28, 29, 52, 34]",2,,9,115
E1,1.5,4,1.0,-2.96,149,"[36, 32, 42, 39]",3,,8,144
E1,1.5,5,1.0,-2.96,162,"[41, 38, 44, 39]",5,,12,138
E1,1.5,6,1.0,-2.97,149,"[34, 40, 40, 35]",3,,13,163
E1,1.5,7,1.0,-2.95,156,"[30, 40, 53, 33]",2,,8,127
E1,1.5,8,1.0,-2.96,151,"[27, 44, 37, 43]",7,,11,116
E1,1.5,9,1.0,-2.97,144,"[37, 36, 36, 35]",8,,14,151
E1,1.5,10,1.0,-2.97,166,"[42, 41, 37, 46]",6,,13,158
E1,1.5,11,1.0,-2.94,140,"[33, 35, 38, 34]",3,,6,126
E1,1.5,12,1.0,-2.94,150,"[34, 39, 37, 40]",3,,8,120
E1,1.5,13,1.0,-2.92,139,"[42, 32, 36, 29]",3,,5,168
E1,1.5,14,1.0,-2.94,153,"[50, 39, 35, 29]",1,,8,161
E1,1.5,15,1.0,-2.94,142,"[33, 36, 42, 31]",3,,7,152
E1,1.5,16,1.0,-2.96,142,"[32, 37, 33, 40]",8,,13,126
E1,1.5,17,1.0,-2.97,149,"[43, 32, 44, 30]",4,,11,134
E1,1.5,18,1.0,-2.97,151,"[37, 32, 40, 42]",6,,10,141
E1,1.5,19,1.0,-2.97,159,"[33, 43, 49, 34]",4,,14,124
E1,1.5,20,1.0,-2.97,158,"[38, 44, 43, 33]",7,,14,137
E1,2.0,1,1.0,-3.0,134,"[32, 36, 35, 31]",7,,17,150
E1,2.0,2,1.0,-3.0,143,"[37, 36, 27, 43]",19,,30,156
E1,2.0,3,1.0,-3.0,134,"[29, 32, 41, 32]",16,,30,146
E1,2.0,4,1.0,-3.0,141,"[34, 35, 33, 39]",15,,26,173
E1,2.0,5,1.0,-3.0,161,"[29, 44, 42, 46]",15,,30,107
E1,2.0,6,1.0,-3.0,152,"[31, 40, 41, 40]",16,,28,144
E1,2.0,7,1.0,-3.0,130,"[37, 42, 32, 19]",9,,20,191
E1,2.0,8,1.0,-3.0,135,"[32, 35, 31, 37]",13,,20,154
E1,2.0,9,1.0,-2.99,133,"[39, 36, 34, 24]",3,,14,189
E1,2.0,10,1.0,-3.0,162,"[38, 42, 43, 39]",13,,24,129
E1,2.0,11,1.0,-3.0,140,"[29, 37, 36, 38]",8,,22,135
E1,2.0,12,1.0,-3.0,153,"[37, 34, 39, 43]",15,,29,134
E1,2.0,13,1.0,-3.0,153,"[45, 38, 31, 39]",19,,30,162
E1,2.0,14,1.0,-3.0,142,"[41, 42, 35, 24]",9,,22,198
E1,2.0,15,1.0,-3.0,154,"[46, 34, 36, 38]",11,,25,146
E1,2.0,16,1.0,-3.0,137,"[28, 36, 29, 44]",13,,28,151
E1,2.0,17,1.0,-3.0,137,"[36, 34, 35, 32]",8,,25,152
E1,2.0,18,1.0,-3.0,142,"[43, 31, 32, 36]",12,,28,157
E1,2.0,19,1.0,-3.0,150,"[28, 39, 43, 40]",14,,28,150
E1,2.0,20,1.0,-3.0,175,"[43, 50, 44, 38]",16,,35,143
E1,2.5,1,1.0,-3.0,148,"[42, 34, 40, 32]",27,,62,194
E1,2.5,2,1.0,-3.0,139,"[38, 38, 34, 29]",27,,59,190
E1,2.5,3,1.0,-3.0,152,"[36, 34, 42, 40]",30,,65,183
E1,2.5,4,1.0,-3.0,148,"[45, 38, 33, 32]",25,,54,182
E1,2.5,5,1.0,-3.0,139,"[30, 32, 37, 40]",27,,60,188
E1,2.5,6,1.0,-3.0,161,"[47, 42, 39, 33]",28,,56,196
E1,2.5,7,1.0,-3.0,165,"[46, 43, 42, 34]",28,,67,177
E1,2.5,8,1.0,-3.0,134,"[31, 35, 31, 37]",31,,55,202
E1,2.5,9,1.0,-3.0,150,"[39, 36, 33, 42]",35,,66,187
E1,2.5,10,1.0,-3.0,134,"[38, 35, 25, 36]",33,,55,165
E1,2.5,11,1.0,-3.0,140,"[36, 29, 33, 42]",29,,57,174
E1,2.5,12,1.0,-3.0,151,"[32, 41, 41, 37]",24,,59,168
E1,2.5,13,1.0,-3.0,160,"[58, 34, 36, 32]",26,,59,202
E1,2.5,14,1.0,-3.0,146,"[45, 27, 41, 33]",25,,54,178
E1,2.5,15,1.0,-3.0,144,"[45, 35, 34, 30]",28,,59,163
E1,2.5,16,1.0,-3.0,127,"[34, 36, 32, 25]",18,,47,169
E1,2.5,17,1.0,-3.0,152,"[38, 36, 39, 39]",34,,64,174
E1,2.5,18,1.0,-3.0,143,"[37, 30, 32, 44]",33,,56,189
E1,2.5,19,1.0,-3.0,154,"[38, 47, 37, 32]",31,,53,178
E1,2.5,20,1.0,-3.0,166,"[42, 35, 48, 41]",33,,68,174
E1,3.0,1,1.0,-3.0,153,"[39, 37, 37, 40]",46,,86,195
E1,3.0,2,1.0,-3.0,167,"[45, 38, 42, 42]",47,,93,184
E1,3.0,3,1.0,-3.0,145,"[32, 38, 39, 36]",41,,85,215
E1,3.0,4,1.0,-3.0,170,"[45, 46, 31, 48]",52,,84,205
E1,3.0,5,1.0,-3.0,170,"[50, 37, 37, 46]",51,,95,216
E1,3.0,6,1.0,-3.0,152,"[48, 40, 34, 30]",30,,70,270
E1,3.0,7,1.0,-3.0,134,"[34, 37, 37, 26]",27,,70,212
E1,3.0,8,1.0,-3.0,153,"[34, 40, 40, 39]",46,,90,188
E1,3.0,9,1.0,-3.0,146,"[38, 33, 40, 35]",40,,85,221
E1,3.0,10,1.0,-3.0,176,"[48, 41, 46, 41]",48,,99,208
E1,3.0,11,1.0,-3.0,149,"[36, 28, 46, 39]",49,,101,188
E1,3.0,12,1.0,-3.0,159,"[46, 34, 42, 37]",40,,87,172
E1,3.0,13,1.0,-3.0,143,"[34, 37, 37, 35]",35,,77,192
E1,3.0,14,1.0,-3.0,164,"[38, 40, 42, 44]",52,,98,178
E1,3.0,15,1.0,-3.0,158,"[39, 34, 47, 38]",42,,92,193
E1,3.0,16,1.0,-3.0,153,"[38, 36, 39, 40]",44,,86,219
E1,3.0,17,1.0,-3.0,166,"[47, 36, 36, 47]",53,,94,184
E1,3.0,18,1.0,-3.0,153,"[42, 27, 44, 40]",45,,93,201
E1,3.0,19,1.0,-3.0,173,"[46, 46, 40, 41]",50,,97,196
E1,3.0,20,1.0,-3.0,159,"[46, 37, 37, 39]",40,,85,181
E2,0.0,1,-2.12,0.93,216,"[38, 39, 90, 49]",56,88967,27,56
E2,0.0,2,-1.82,-1.25,247,"[30, 46, 91, 80]",5,,23,5
E2,0.0,3,-2.35,0.9,208,"[39, 34, 89, 46]",57,87201,30,57
E2,0.0,4,-2.53,1.0,163,"[41, 37, 57, 28]",77,62270,21,135
E2,0.0,5,-2.26,0.99,205,"[31, 43, 88, 43]",80,79325,29,81
E2,0.0,6,-2.23,0.9,218,"[39, 35, 87, 57]",50,91185,28,51
E2,0.0,7,-2.31,1.0,157,"[42, 36, 37, 42]",56,54587,25,148
E2,0.0,8,-2.37,1.0,165,"[39, 49, 44, 33]",67,58216,47,152
E2,0.0,9,-2.27,1.0,199,"[49, 35, 80, 35]",69,78150,18,77
E2,0.0,10,-2.2,1.0,174,"[46, 40, 56, 32]",92,61772,21,155
E2,0.0,11,-2.33,-2.09,244,"[36, 35, 91, 82]",1,,19,1
E2,0.0,12,-2.12,-2.27,254,"[39, 42, 89, 84]",0,,16,0
E2,0.0,13,-2.29,0.98,199,"[44, 33, 89, 33]",67,78163,31,73
E2,0.0,14,-2.39,0.99,169,"[35, 33, 62, 39]",81,62097,30,143
E2,0.0,15,-2.39,-2.5,258,"[43, 38, 90, 87]",0,,20,0
E2,0.0,16,-2.45,0.99,210,"[39, 44, 86, 41]",62,79094,20,65
E2,0.0,17,-2.12,-2.4,249,"[37, 40, 87, 85]",0,,16,0
E2,0.0,18,-2.12,-1.9,252,"[44, 38, 88, 82]",1,,16,2
E2,0.0,19,-2.41,0.97,173,"[37, 42, 49, 45]",68,56509,29,142
E2,0.0,20,-2.35,0.99,209,"[38, 48, 85, 38]",63,79002,19,67
E2,0.5,1,-2.29,1.0,168,"[39, 28, 65, 36]",61,67243,31,95
E2,0.5,2,-2.46,1.0,212,"[44, 50, 67, 51]",52,65489,36,88
E2,0.5,3,-2.54,1.0,188,"[38, 54, 55, 41]",84,61425,34,129
E2,0.5,4,-2.33,-2.23,246,"[43, 29, 92, 82]",1,,19,1
E2,0.5,5,-2.58,-2.55,254,"[24, 55, 90, 85]",0,,24,0
E2,0.5,6,-2.49,0.99,157,"[30, 30, 53, 44]",59,62410,34,117
E2,0.5,7,-2.63,0.87,213,"[34, 31, 90, 58]",34,86550,24,35
E2,0.5,8,-2.4,0.98,164,"[33, 37, 58, 36]",63,59984,58,145
E2,0.5,9,-2.62,1.0,183,"[43, 35, 67, 38]",59,67927,25,96
E2,0.5,10,-2.52,1.0,147,"[38, 37, 48, 24]",92,59561,29,158
E2,0.5,11,-2.5,1.0,155,"[37, 36, 34, 48]",44,52574,22,129
E2,0.5,12,-2.5,1.0,162,"[34, 33, 53, 42]",64,63156,22,115
E2,0.5,13,-2.47,0.99,165,"[31, 39, 59, 36]",55,65802,34,103
E2,0.5,14,-2.35,0.99,185,"[31, 40, 76, 38]",74,73962,32,90
E2,0.5,15,-2.06,0.34,230,"[39, 33, 89, 69]",20,95265,26,21
E2,0.5,16,-2.54,0.95,209,"[34, 40, 90, 45]",45,86671,23,46
E2,0.5,17,-2.58,1.0,156,"[37, 41, 38, 40]",71,57391,30,151
E2,0.5,18,-2.63,0.99,165,"[32, 41, 48, 44]",57,60114,37,136
E2,0.5,19,-2.24,0.96,215,"[46, 39, 89, 41]",61,78469,32,63
E2,0.5,20,-2.51,1.0,186,"[36, 31, 80, 39]",68,74634,21,85
E2,1.0,1,-2.43,0.97,238,"[55, 49, 90, 44]",61,77640,41,64
E2,1.0,2,-2.7,1.0,163,"[46, 37, 28, 52]",49,53374,28,157
E2,1.0,3,-2.71,0.99,146,"[31, 31, 49, 35]",70,61882,44,137
E2,1.0,4,-2.78,0.94,219,"[31, 41, 93, 54]",44,88797,27,44
E2,1.0,5,-2.72,1.0,165,"[35, 39, 51, 40]",63,58613,27,128
E2,1.0,6,-2.64,1.0,179,"[37, 33, 65, 44]",68,66309,40,122
E2,1.0,7,-2.72,1.0,149,"[35, 47, 33, 34]",77,52223,30,168
E2,1.0,8,-2.65,0.99,164,"[36, 37, 57, 34]",78,58135,61,154
E2,1.0,9,-2.79,1.0,201,"[45, 40, 83, 33]",63,76485,31,75
E2,1.0,10,-2.71,1.0,177,"[42, 47, 48, 40]",50,54500,30,120
E2,1.0,11,-2.66,1.0,126,"[37, 29, 27, 33]",77,53192,26,192
E2,1.0,12,-2.71,1.0,159,"[40, 27, 49, 43]",71,59800,28,135
E2,1.0,13,-2.7,1.0,162,"[36, 41, 50, 35]",83,56390,38,151
E2,1.0,14,-2.66,1.0,161,"[35, 39, 56, 31]",92,57829,48,152
