brazo,esc,seed,pct_ven,pct_com,sin_obj,deaths,comidaA_2a,W_A,W_B,E1ok,E2ok
C1,E1,21,24.38,0.302,1.486,148,151,1.0,-3.0,True,False
C1,E1,22,26.498,0.346,2.61,147,173,1.0,-3.0,True,False
C1,E1,23,23.982,0.322,2.19,170,161,1.0,-3.0,True,False
C1,E1,24,23.846,0.25,1.794,161,125,1.0,-3.0,True,False
C1,E1,25,30.202,0.288,1.712,149,143,1.0,-3.0,True,False
C1,E1,26,29.274,0.232,2.44,165,116,1.0,-3.0,True,False
C1,E1,27,31.09,0.27,2.328,155,134,1.0,-3.0,True,False
C1,E1,28,26.06,0.276,2.048,153,138,1.0,-3.0,True,False
C1,E1,29,24.444,0.316,1.33,136,158,1.0,-3.0,True,False
C1,E1,30,27.226,0.316,1.658,149,158,1.0,-3.0,True,False
C1,E1,31,22.996,0.278,2.114,144,139,1.0,-3.0,True,False
C1,E1,32,29.65,0.316,1.768,151,157,1.0,-3.0,True,False
C1,E1,33,22.786,0.312,1.912,136,156,1.0,-3.0,True,False
C1,E1,34,30.882,0.354,1.422,153,175,1.0,-3.0,True,False
C1,E1,35,29.408,0.268,1.438,158,134,1.0,-3.0,True,False
C1,E1,36,26.352,0.294,1.568,144,147,1.0,-3.0,True,False
C1,E1,37,24.796,0.306,1.246,138,153,1.0,-3.0,True,False
C1,E1,38,26.566,0.336,1.966,155,167,1.0,-3.0,True,False
C1,E1,39,24.014,0.362,1.484,126,181,1.0,-3.0,True,False
C1,E1,40,26.978,0.314,2.638,140,157,1.0,-3.0,True,False
C1,E2,21,24.634,1.884,1.686,150,65,-2.99,1.0,False,True
C1,E2,22,25.194,0.712,2.252,154,60,-2.99,1.0,False,True
C1,E2,23,24.758,1.102,1.898,156,62,-2.99,1.0,False,True
C1,E2,24,27.646,0.79,2.676,154,57,-2.99,1.0,False,True
C1,E2,25,26.428,1.516,1.084,136,57,-2.98,1.0,False,True
C1,E2,26,22.1,0.746,1.222,150,52,-2.97,1.0,False,True
C1,E2,27,31.408,1.748,2.434,159,82,-2.98,1.0,False,True
C1,E2,28,24.9,1.424,1.372,130,62,-2.99,1.0,False,True
C1,E2,29,26.526,2.112,1.542,154,62,-2.99,1.0,False,True
C1,E2,30,23.47,0.876,1.192,147,57,-2.98,1.0,False,True
C1,E2,31,26.282,2.076,1.35,169,67,-2.99,1.0,False,True
C1,E2,32,28.068,1.22,1.3,155,60,-2.99,1.0,False,False
C1,E2,33,23.662,1.004,1.652,145,57,-2.98,1.0,False,True
C1,E2,34,27.756,0.822,1.35,148,57,-2.98,1.0,False,True
C1,E2,35,25.69,1.472,1.398,182,70,-3.0,1.0,False,True
C1,E2,36,25.164,1.014,1.902,143,62,-2.99,1.0,False,True
C1,E2,37,20.906,2.476,2.002,149,56,-2.98,1.0,False,True
C1,E2,38,24.076,2.156,1.608,160,59,-2.98,1.0,False,True
C1,E2,39,24.16,1.402,1.848,149,63,-2.99,1.0,False,True
C1,E2,40,32.128,1.326,1.218,143,65,-2.99,1.0,False,True
C2,E1,21,19.232,0.316,0.0,148,158,1.0,-3.0,True,False
C2,E1,22,21.51,0.366,0.0,135,183,1.0,-3.0,True,False
C2,E1,23,22.424,0.32,0.0,141,159,1.0,-3.0,True,False
C2,E1,24,22.526,0.282,0.0,145,141,1.0,-3.0,True,False
C2,E1,25,21.672,0.254,0.0,159,127,1.0,-3.0,True,False
C2,E1,26,23.722,0.27,0.0,149,135,1.0,-3.0,True,False
C2,E1,27,19.596,0.304,0.0,149,152,1.0,-3.0,True,False
C2,E1,28,20.998,0.33,0.0,134,165,1.0,-3.0,True,False
C2,E1,29,21.514,0.376,0.0,138,188,1.0,-3.0,True,False
C2,E1,30,21.498,0.248,0.0,174,123,1.0,-3.0,True,False
C2,E1,31,25.124,0.308,0.0,149,154,1.0,-3.0,True,False
C2,E1,32,20.81,0.248,0.0,148,124,1.0,-3.0,True,False
C2,E1,33,24.064,0.29,0.0,158,145,1.0,-3.0,True,False
C2,E1,34,20.41,0.316,0.0,142,158,1.0,-3.0,True,False
C2,E1,35,23.122,0.344,0.0,133,171,1.0,-3.0,True,False
C2,E1,36,16.294,0.334,0.0,141,167,1.0,-3.0,True,False
C2,E1,37,20.792,0.292,0.0,148,146,1.0,-3.0,True,False
C2,E1,38,21.006,0.328,0.0,138,162,1.0,-3.0,True,False
C2,E1,39,21.852,0.366,0.0,128,183,1.0,-3.0,True,False
C2,E1,40,19.194,0.276,0.0,126,137,1.0,-3.0,True,False
C2,E2,21,19.746,1.896,0.0,147,54,-2.98,1.0,False,True
C2,E2,22,19.594,1.05,0.0,164,51,-2.97,1.0,False,True
C2,E2,23,21.442,1.39,0.0,157,59,-2.99,1.0,False,True
C2,E2,24,21.636,1.032,0.0,132,56,-2.98,1.0,False,True
C2,E2,25,21.578,0.894,0.0,160,57,-2.98,1.0,False,True
