| mundo | parámetros | semillas | CODIGO | PERILLAS | CODIGO_SIN_SOS | CODIGO vs PERILLAS (R0 final, pareado) | nac solo (pareado) | persist. dif | ganador |
|---|---|---|---|---|---|---|---|---|---|
| alterna2k | alterna {'periodo': 2000} | 28001–28003 (3) | 0/3 · R0 0.21 · nac solo 13 · t_rec 16001 | 0/3 · R0 0.06 · nac solo 16 · t_rec 16001 | — | 3/3 | 1/3 | +0 | empate / ruido |
| alterna4k | alterna {'periodo': 4000} | 28001–28003 (3) | 0/3 · R0 0.36 · nac solo 14 · t_rec 6000 | 0/3 · R0 0.13 · nac solo 15 · t_rec 14000 | — | 2/3 | 2/3 | +0 | empate / ruido |
| alterna8k | alterna {'periodo': 8000} | 28001–28003 (3) | 0/3 · R0 0.25 · nac solo 17 · t_rec 10000 | 1/3 · R0 0.11 · nac solo 19 · t_rec 10000 | — | 1/3 | 1/3 | -1 | empate / ruido |
| bonanza | fijo {'tabla': {'B': [0.8, 0.0]}} | 28001–28003 (3) | 3/3 · R0 0.78 · nac solo 169 · t_rec 0 | 3/3 · R0 0.63 · nac solo 137 · t_rec 0 | — | 3/3 | 2/3 | +0 | **CODIGO** |
| deriva8k | deriva {'dur': 8000} | 28001–28003 (3) | 3/3 · R0 0.39 · nac solo 107 · t_rec 14000 | 3/3 · R0 0.33 · nac solo 86 · t_rec 12000 | — | 2/3 | 2/3 | +0 | empate / ruido |
| escalera4 | escalera {'dur': 8000, 'n': 4} | 28001–28003 (3) | 0/3 · R0 0.14 · nac solo 14 · t_rec 16001 | 0/3 · R0 0.21 · nac solo 27 · t_rec 16001 | — | 1/3 | 0/3 | +0 | PERILLAS |
| golpe | golpe  | 28001–28006 (6) | 1/6 · R0 0.12 · nac solo 20 · t_rec 16001 | 0/6 · R0 0.16 · nac solo 16 · t_rec 16001 | — | 4/6 | 3/6 | +1 | empate / ruido |
| gradual16k | gradual {'dur': 16000} | 28001–28006 (6) | 1/6 · R0 0.40 · nac solo 37 · t_rec 14000 | 0/6 · R0 0.36 · nac solo 22 · t_rec 16001 | — | 4/6 | 4/6 | +1 | empate / ruido |
| gradual8k | gradual {'dur': 8000} | 28001–28003 (3) | 0/3 · R0 0.11 · nac solo 28 · t_rec 16001 | 0/3 · R0 0.21 · nac solo 38 · t_rec 16001 | — | 1/3 | 1/3 | +0 | empate / ruido |
| medio_veneno | fijo {'tabla': {'A': [-0.2, 0.0], 'B': [0.8, 0.0]}} | 28001–28006 (6) | 1/6 · R0 0.38 · nac solo 44 · t_rec 15000 | 3/6 · R0 0.23 · nac solo 45 · t_rec 16001 | 5/6 · R0 0.37 · nac solo 63 · t_rec 11000 | 4/6 | 3/6 | -2 | empate / ruido |
| onda8k | onda {'periodo': 8000} | 28001–28006 (6) | 3/6 · R0 0.44 · nac solo 46 · t_rec 8000 | 0/6 · R0 0.22 · nac solo 33 · t_rec 11000 | 2/6 · R0 0.47 · nac solo 62 · t_rec 8000 | 5/6 | 5/6 | +3 | **CODIGO** |
| quieto | fijo {'tabla': {}} | 28001–28006 (6) | 6/6 · R0 0.72 · nac solo 106 · t_rec 0 | 6/6 · R0 0.67 · nac solo 82 · t_rec 0 | — | 4/6 | 5/6 | +0 | empate / ruido |
| reina | reina {'cada': 1000, 'gap': 2000, 'umbral': 0.8} | 28001–28003 (3) | 1/3 · R0 0.08 · nac solo 14 · t_rec 16001 | 0/3 · R0 0.06 · nac solo 16 · t_rec 16001 | — | 2/3 | 0/3 | +1 | empate / ruido |
| suave | fijo {'tabla': {'A': [0.0, 0.0], 'B': [0.4, 0.0]}} | 28001–28006 (6) | 6/6 · R0 0.36 · nac solo 76 · t_rec 16001 | 6/6 · R0 0.32 · nac solo 80 · t_rec 16001 | 6/6 · R0 0.50 · nac solo 94 · t_rec 12000 | 4/6 | 3/6 | +0 | empate / ruido |
| zona_mitad | zona {'frac': 0.5} | 28001–28006 (6) | 0/6 · R0 0.18 · nac solo 22 · t_rec 16001 | 0/6 · R0 0.16 · nac solo 10 · t_rec 16001 | — | 3/6 | 4/6 | +0 | empate / ruido |
