LANZA 13:43:16 · 60 corridas · max 6 · T 100000
  [     0s] lanzo v143 s33001 (vivos 1, en cola 59)
  [     0s] lanzo o1genes s33001 (vivos 2, en cola 58)
  [     0s] lanzo ensena2 s33001 (vivos 3, en cola 57)
  [     0s] lanzo ensena1 s33001 (vivos 4, en cola 56)
  [     0s] lanzo limpia s33001 (vivos 5, en cola 55)
  [     0s] lanzo neofobia s33001 (vivos 6, en cola 54)
  [   110s] lanzo patas s33001 (vivos 4, en cola 53)
  [   110s] lanzo sac2 s33001 (vivos 5, en cola 52)
  [   110s] lanzo sac6 s33001 (vivos 6, en cola 51)
  [   120s] lanzo margen s33001 (vivos 6, en cola 50)
  [   125s] lanzo nomalo s33001 (vivos 6, en cola 49)
  [   130s] lanzo o1 s33001 (vivos 6, en cola 48)
  [   225s] lanzo v143 s33002 (vivos 4, en cola 47)
  [   225s] lanzo o1genes s33002 (vivos 5, en cola 46)
  [   225s] lanzo ensena2 s33002 (vivos 6, en cola 45)
  [   230s] lanzo ensena1 s33002 (vivos 6, en cola 44)
  [   240s] lanzo limpia s33002 (vivos 6, en cola 43)
  [   335s] lanzo neofobia s33002 (vivos 6, en cola 42)
  [   340s] lanzo patas s33002 (vivos 6, en cola 41)
  [   345s] lanzo sac2 s33002 (vivos 6, en cola 40)
  [   350s] lanzo sac6 s33002 (vivos 6, en cola 39)
  [   365s] lanzo margen s33002 (vivos 6, en cola 38)
  [   375s] lanzo nomalo s33002 (vivos 6, en cola 37)
  [   480s] lanzo o1 s33002 (vivos 5, en cola 36)
  [   480s] lanzo v143 s33003 (vivos 6, en cola 35)
  [   485s] lanzo o1genes s33003 (vivos 6, en cola 34)
  [   490s] lanzo ensena2 s33003 (vivos 6, en cola 33)
  [   500s] lanzo ensena1 s33003 (vivos 6, en cola 32)
  [   505s] lanzo limpia s33003 (vivos 6, en cola 31)
  [   605s] lanzo neofobia s33003 (vivos 6, en cola 30)
  [   625s] lanzo patas s33003 (vivos 6, en cola 29)
  [   635s] lanzo sac2 s33003 (vivos 6, en cola 28)
  [   640s] lanzo sac6 s33003 (vivos 6, en cola 27)
  [   655s] lanzo margen s33003 (vivos 6, en cola 26)
  [   745s] lanzo nomalo s33003 (vivos 6, en cola 25)
  [   755s] lanzo o1 s33003 (vivos 6, en cola 24)
  [   780s] lanzo v143 s33004 (vivos 6, en cola 23)
  [   785s] lanzo o1genes s33004 (vivos 5, en cola 22)
  [   785s] lanzo ensena2 s33004 (vivos 6, en cola 21)
  [   800s] lanzo ensena1 s33004 (vivos 6, en cola 20)
  [   900s] lanzo limpia s33004 (vivos 6, en cola 19)
  [   920s] lanzo neofobia s33004 (vivos 5, en cola 18)
  [   920s] lanzo patas s33004 (vivos 6, en cola 17)
  [   935s] lanzo sac2 s33004 (vivos 6, en cola 16)
  [   945s] lanzo sac6 s33004 (vivos 6, en cola 15)
  [  1000s] lanzo margen s33004 (vivos 6, en cola 14)
  [  1020s] lanzo nomalo s33004 (vivos 6, en cola 13)
  [  1040s] lanzo o1 s33004 (vivos 5, en cola 12)
  [  1040s] lanzo v143 s33005 (vivos 6, en cola 11)
  [  1056s] lanzo o1genes s33005 (vivos 6, en cola 10)
  [  1061s] lanzo ensena2 s33005 (vivos 6, en cola 9)
  [  1121s] lanzo ensena1 s33005 (vivos 6, en cola 8)
  [  1141s] lanzo limpia s33005 (vivos 6, en cola 7)
  [  1146s] lanzo neofobia s33005 (vivos 6, en cola 6)
  [  1171s] lanzo patas s33005 (vivos 6, en cola 5)
  [  1176s] lanzo sac2 s33005 (vivos 6, en cola 4)
  [  1226s] lanzo sac6 s33005 (vivos 6, en cola 3)
  [  1246s] lanzo margen s33005 (vivos 6, en cola 2)
  [  1261s] lanzo nomalo s33005 (vivos 5, en cola 1)
  [  1261s] lanzo o1 s33005 (vivos 6, en cola 0)
FIN 14:07:21 en 1446s
LANZA 14:08:35 · 35 corridas · max 6 · T 100000
  [     0s] lanzo patas4 s33001 (vivos 1, en cola 34)
  [     0s] lanzo patas_act s33001 (vivos 2, en cola 33)
  [     0s] lanzo ens2_patas s33001 (vivos 3, en cola 32)
  [     0s] lanzo patas_limpia s33001 (vivos 4, en cola 31)
  [     0s] lanzo patas_neof s33001 (vivos 5, en cola 30)
  [     0s] lanzo patas_margen s33001 (vivos 6, en cola 29)
  [     5s] lanzo patas_malosuave s33001 (vivos 2, en cola 28)
  [     5s] lanzo patas4 s33002 (vivos 3, en cola 27)
