EXPLORATORIO, no es dato -- juguete_tragar: endosimbiosis de bolsillo
brazo            seed frac_mitad frac_fin   nG nS_libre tragados acCD_con acCD_sin
SIN_TRAGAR      23021       0.00     0.00  149      150        0      nan     0.50
SIN_TRAGAR      23022       0.00     0.00  150      150        0      nan     0.50
SIN_TRAGAR      23023       0.00     0.00  150      150        0      nan     0.50
SIN_TRAGAR      23024       0.00     0.00  150      150        0      nan     0.50
SIN_TRAGAR      23025       0.00     0.00  150      150        0      nan     0.50
TRAGAR          23021       0.23     0.33  150      150       77     0.68     0.50
TRAGAR          23022       0.59     0.55  150      150      119     0.84     0.50
TRAGAR          23023       0.11     0.30  150      150       61     0.89     0.50
TRAGAR          23024       0.25     0.32  150      150       63     0.68     0.50
TRAGAR          23025       0.84     0.86  150      150       54     0.76     0.50
TRAGAR_DERIVA   23021       1.00     1.00  144      150       47     0.49      nan
TRAGAR_DERIVA   23022       1.00     1.00  144      146       59     0.47      nan
TRAGAR_DERIVA   23023       1.00     1.00  146      146       68     0.53      nan
TRAGAR_DERIVA   23024       0.84     1.00  147      147      114     0.49     0.51
TRAGAR_DERIVA   23025       1.00     1.00  149      148       53     0.52      nan
418 s
