# fecha: 2026-09-15 11:58:08
# rama: 3T_temporal
# tag: BAR3
# sha_mundo_temporal: 1f447657faf00ef8
# sha_corre_3T: 95ed871994fd44c5
# python: 3.14.2
# numpy: 2.4.3
# arms: ['C3']
# seeds: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]
# kwargs: {'T': 100000, 'nkmax': 90, 'wclip': 3.0}
# constantes: {'L': 40, 'NK': 30, 'NKMAX': 90, 'K': 3, 'R_VAL': {'comida': 1.0, 'veneno': -3.0, 'neutro': 0.0}, 'E_VAL': {'comida': 0.8, 'veneno': -0.4, 'neutro': 0.1}}
# segundos: 47.4
arm,seed,W_AA,W_AB,W_BA,W_BB,sep,Wp_AA,Wn_AA,Wp_AB,Wn_AB,solap_A,solap_B,solap_A_s0,solap_A_s1,solap_A_s2,solap_A_s3,solap_A_s4,rho_s0,rho_s1,rho_s2,rho_s3,rho_s4,rho_cod_s0,rho_cod_s1,rho_cod_s2,rho_cod_s3,rho_cod_s4,splits,celdas,t_pool,fracTemp_med,acc_q1,acc_q2,acc_q3,acc_q4,base_q1,base_q2,base_q3,base_q4,lift_q1,lift_q2,lift_q3,lift_q4,early_acc,early_base,early_lift,early_nbit,nAB_q1,nAB_q2,nAB_q3,nAB_q4,nAA_q1,nAA_q2,nAA_q3,nAA_q4,nB_q1,nB_q2,nB_q3,nB_q4,deaths,Rtot,E_fin
C3,1,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,2,0,3,2,2,2,2,0.0,0.379,0.379,0.379,0.379,0.0,0.4355,0.4355,0.4355,0.4355,60,90,13368,0.505,0.5078,0.5004,0.4972,0.4996,0.5104,0.5038,0.5055,0.5122,-0.0025,-0.0034,-0.0083,-0.0126,0.4854,0.5211,-0.0357,213,552,690,626,690,535,689,633,691,1133,1398,1289,1448,238,-5086.0,1.122
C3,2,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,1,0,3,1,1,1,1,0.0,0.3153,0.3153,0.3153,0.3153,0.0,0.3531,0.3531,0.3531,0.3531,60,90,19471,0.526,0.5055,0.5032,0.5031,0.4825,0.4976,0.5047,0.5044,0.4782,0.0079,-0.0015,-0.0013,0.0043,0.3521,0.5035,-0.1514,141,416,637,650,677,407,629,642,726,813,1292,1315,1284,249,-4832.0,1.386
C3,3,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,2,0,3,2,2,2,2,0.0,0.3492,0.3492,0.3492,0.3492,0.0,0.4055,0.4055,0.4055,0.4055,60,90,12584,0.523,0.5123,0.4834,0.5172,0.4683,0.4947,0.496,0.5083,0.4784,0.0176,-0.0126,0.0089,-0.0101,0.5887,0.5305,0.0582,262,562,639,677,651,535,683,632,739,1074,1301,1351,1277,248,-5238.0,1.472
C3,4,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,3,0,3,3,3,3,3,0.0,0.3484,0.3484,0.3484,0.3484,0.0,0.4003,0.4003,0.4003,0.4003,60,90,13101,0.505,0.489,0.5084,0.5257,0.4827,0.5054,0.4992,0.5237,0.4939,-0.0164,0.0092,0.002,-0.0112,0.5221,0.5372,-0.0151,242,535,636,644,698,559,615,581,748,1118,1245,1349,1409,218,-4996.0,1.378
C3,5,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,2,0,3,2,2,2,2,0.0,0.3972,0.3972,0.3972,0.3972,0.0,0.4444,0.4444,0.4444,0.4444,60,90,13531,0.505,0.5129,0.5176,0.5112,0.5003,0.5007,0.5202,0.517,0.5069,0.0123,-0.0026,-0.0058,-0.0065,0.5833,0.5202,0.0631,198,575,634,684,717,546,591,654,716,1124,1328,1432,1473,204,-4911.0,1.482
C3,6,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,2,0,3,2,2,2,2,0.0,0.33,0.33,0.33,0.33,0.0,0.4076,0.4076,0.4076,0.4076,60,90,12435,0.505,0.5078,0.5195,0.4917,0.5018,0.5081,0.515,0.4964,0.5061,-0.0003,0.0046,-0.0047,-0.0044,0.5809,0.5246,0.0562,284,586,598,683,566,568,553,706,562,1190,1222,1371,1154,216,-4734.0,1.45
C3,7,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,2,0,3,2,2,2,2,0.0,0.3256,0.3256,0.3256,0.3256,0.0,0.3848,0.3848,0.3848,0.3848,60,90,13788,0.505,0.5184,0.4786,0.4918,0.4917,0.5052,0.4932,0.5068,0.5024,0.0133,-0.0145,-0.015,-0.0106,0.473,0.5068,-0.0338,148,548,605,626,623,509,659,647,644,1077,1232,1306,1281,210,-4975.0,1.254
C3,8,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,3,0,3,3,3,3,3,0.0,0.2827,0.2827,0.2827,0.2827,0.0,0.3518,0.3518,0.3518,0.3518,60,90,14894,0.504,0.4777,0.5143,0.4853,0.4855,0.4908,0.5042,0.4951,0.5049,-0.0131,0.0101,-0.0098,-0.0195,0.51,0.524,-0.014,208,450,700,628,635,492,661,666,673,906,1386,1269,1332,253,-5063.0,1.482
C3,9,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,2,0,3,2,2,2,2,0.0,0.3364,0.3364,0.3364,0.3364,0.0,0.3819,0.3819,0.3819,0.3819,60,90,10088,0.505,0.4865,0.4887,0.4711,0.4933,0.4877,0.4976,0.4784,0.4961,-0.0012,-0.0088,-0.0073,-0.0028,0.543,0.5598,-0.0167,343,669,608,694,701,706,636,779,720,1309,1230,1351,1401,284,-5851.0,1.36
C3,10,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,3,0,3,3,3,3,3,0.0,0.2766,0.2766,0.2766,0.2766,0.0,0.3402,0.3402,0.3402,0.3402,60,90,13974,0.505,0.4917,0.5127,0.5069,0.508,0.4991,0.4996,0.5208,0.5051,-0.0074,0.013,-0.0139,0.0028,0.4831,0.5056,-0.0225,178,535,708,588,637,553,673,572,617,1084,1377,1263,1280,238,-4777.0,1.498
C3,11,0.0,0.0,0.0,-0.0,0.0,9.0,9.0,9.0,9.0,3,0,3,3,3,3,3,0.0,0.3281,0.3281,0.3281,0.3281,0.0,0.3803,0.3803,0.3803,0.3803,60,90,8964,0.509,0.4941,0.4883,0.508,0.5242,0.4847,0.4906,0.5065,0.5165,0.0094,-0.0024,0.0014,0.0076,0.5026,0.4704,0.0322,355,624,665,670,629,639,697,649,571,1188,1310,1354,1282,220,-5080.0,1.064
C3,12,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,2,0,3,2,2,2,2,0.0,0.3317,0.3317,0.3317,0.3317,0.0,0.3841,0.3841,0.3841,0.3841,60,90,15712,0.505,0.514,0.5185,0.485,0.4968,0.5074,0.5071,0.4925,0.5078,0.0066,0.0114,-0.0076,-0.011,0.6423,0.5308,0.1115,260,515,702,677,626,487,652,719,634,1030,1393,1355,1302,219,-4956.0,1.25
C3,13,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,2,0,3,2,2,2,2,0.0,0.3656,0.3656,0.3656,0.3656,0.0,0.4424,0.4424,0.4424,0.4424,60,90,12943,0.509,0.4832,0.5234,0.5067,0.4991,0.492,0.5096,0.4941,0.5184,-0.0087,0.0139,0.0126,-0.0193,0.4722,0.4906,-0.0183,212,519,670,647,587,555,610,630,589,1040,1330,1247,1266,213,-4729.0,1.476
C3,14,0.0,0.0,0.0,-0.0,0.0,9.0,9.0,9.0,9.0,3,0,3,3,3,3,3,0.0,0.356,0.356,0.356,0.356,0.0,0.3877,0.3877,0.3877,0.3877,60,90,9156,0.505,0.5079,0.5088,0.4792,0.497,0.4969,0.5036,0.4872,0.4991,0.011,0.0052,-0.0081,-0.0021,0.5638,0.5494,0.0144,415,614,638,655,658,595,616,712,666,1192,1274,1297,1321,241,-5202.0,0.362
C3,15,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,3,0,3,3,3,3,3,0.0,0.3609,0.3609,0.3609,0.3609,0.0,0.4447,0.4447,0.4447,0.4447,60,90,12655,0.513,0.5108,0.5045,0.5123,0.5043,0.5028,0.5021,0.499,0.4986,0.008,0.0025,0.0133,0.0057,0.595,0.5455,0.0496,264,590,722,667,640,565,709,635,629,1166,1445,1297,1262,212,-4995.0,1.492
C3,16,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,3,0,3,3,3,3,3,0.0,0.3216,0.3216,0.3216,0.3216,0.0,0.3735,0.3735,0.3735,0.3735,60,90,12887,0.505,0.5238,0.4902,0.4965,0.4906,0.5058,0.4898,0.5062,0.4897,0.018,0.0004,-0.0097,0.001,0.625,0.539,0.086,295,605,701,632,655,550,729,641,680,1182,1371,1307,1281,236,-5207.0,1.064
C3,17,0.0,0.0,0.0,-0.0,0.0,9.0,9.0,9.0,9.0,2,0,3,2,2,2,2,0.0,0.3474,0.3474,0.3474,0.3474,0.0,0.4122,0.4122,0.4122,0.4122,60,90,14150,0.51,0.4996,0.5004,0.4938,0.5153,0.4894,0.4912,0.4986,0.5066,0.0102,0.0091,-0.0049,0.0088,0.5059,0.5602,-0.0543,191,565,668,635,638,566,667,651,600,1084,1289,1279,1269,233,-4946.0,1.496
