# fecha: 2026-09-15 11:59:44
# rama: 3T_temporal
# tag: BAR4.5
# sha_mundo_temporal: 1f447657faf00ef8
# sha_corre_3T: 95ed871994fd44c5
# python: 3.14.2
# numpy: 2.4.3
# arms: ['C3']
# seeds: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]
# kwargs: {'T': 100000, 'nkmax': 90, 'wclip': 4.5}
# constantes: {'L': 40, 'NK': 30, 'NKMAX': 90, 'K': 3, 'R_VAL': {'comida': 1.0, 'veneno': -3.0, 'neutro': 0.0}, 'E_VAL': {'comida': 0.8, 'veneno': -0.4, 'neutro': 0.1}}
# segundos: 96.7
arm,seed,W_AA,W_AB,W_BA,W_BB,sep,Wp_AA,Wn_AA,Wp_AB,Wn_AB,solap_A,solap_B,solap_A_s0,solap_A_s1,solap_A_s2,solap_A_s3,solap_A_s4,rho_s0,rho_s1,rho_s2,rho_s3,rho_s4,rho_cod_s0,rho_cod_s1,rho_cod_s2,rho_cod_s3,rho_cod_s4,splits,celdas,t_pool,fracTemp_med,acc_q1,acc_q2,acc_q3,acc_q4,base_q1,base_q2,base_q3,base_q4,lift_q1,lift_q2,lift_q3,lift_q4,early_acc,early_base,early_lift,early_nbit,nAB_q1,nAB_q2,nAB_q3,nAB_q4,nAA_q1,nAA_q2,nAA_q3,nAA_q4,nB_q1,nB_q2,nB_q3,nB_q4,deaths,Rtot,E_fin
C3,1,0.0,0.0,0.0,0.0,0.0,13.5,13.5,13.5,13.5,2,0,3,2,2,2,2,0.0,0.3814,0.3814,0.3814,0.3814,0.0,0.4421,0.4421,0.4421,0.4421,60,90,14884,0.505,0.5057,0.4978,0.5036,0.4919,0.4922,0.5007,0.5047,0.4918,0.0135,-0.003,-0.0011,0.0001,0.5,0.535,-0.035,200,530,665,637,611,518,671,628,631,1014,1342,1287,1202,212,-4901.0,0.916
C3,2,-2.851,0.995,-0.009,0.037,3.846,9.525,12.376,11.031,10.036,1,2,3,1,1,1,1,0.0,0.1363,0.1363,0.1363,0.1363,0.0,0.297,0.297,0.297,0.297,12,42,,0.565,0.6784,0.8357,0.907,0.9034,0.5305,0.574,0.5547,0.576,0.1479,0.2617,0.3523,0.3274,0.3521,0.5035,-0.1514,141,173,117,156,131,82,23,16,14,286,191,212,197,109,172.0,1.482
C3,3,0.0,0.0,0.0,0.0,0.0,13.5,13.5,13.5,13.5,3,0,3,2,2,2,3,0.0,0.1707,0.1707,0.1707,0.3288,0.0,0.323,0.323,0.323,0.3853,60,90,95677,0.505,0.6921,0.7023,0.6687,0.5221,0.5249,0.529,0.5146,0.5028,0.1672,0.1733,0.1541,0.0193,0.6033,0.5349,0.0684,258,245,217,222,366,109,92,110,335,389,347,352,709,139,-888.0,1.424
C3,4,-1.948,1.0,-0.0,0.0,2.948,11.552,13.5,12.289,11.289,0,0,3,0,0,0,0,0.0,0.2103,0.2364,0.2542,0.2686,0.0,0.3331,0.3313,0.3343,0.3343,40,70,,0.369,0.6535,0.8,0.7874,0.7612,0.5379,0.5734,0.5625,0.5306,0.1157,0.2266,0.2249,0.2305,0.5278,0.5263,0.0015,228,232,272,237,204,123,68,64,64,411,457,387,303,112,-12.0,1.318
C3,5,-0.764,0.0,-0.0,0.0,0.764,12.736,13.5,13.5,13.5,0,1,3,2,0,0,0,0.0,0.1601,0.1856,0.3231,0.3231,0.0,0.332,0.3416,0.3704,0.3704,60,90,62954,0.42,0.7275,0.7031,0.581,0.5849,0.5366,0.5152,0.5028,0.5071,0.191,0.188,0.0782,0.0778,0.5833,0.5202,0.0631,198,259,270,416,527,97,114,300,374,410,408,724,927,161,-1183.0,1.494
C3,6,0.0,0.0,0.0,0.0,0.0,13.5,13.5,13.5,13.5,2,0,3,2,2,2,2,0.0,0.3211,0.3211,0.3211,0.3211,0.0,0.3902,0.3902,0.3902,0.3902,60,90,17626,0.506,0.5123,0.4917,0.5031,0.4945,0.4955,0.4882,0.5025,0.5006,0.0168,0.0035,0.0006,-0.0061,0.5556,0.5226,0.0329,243,458,653,644,625,436,675,636,639,878,1265,1295,1267,233,-4778.0,1.468
C3,7,0.0,0.0,0.0,0.0,0.0,13.5,13.5,13.5,13.5,1,0,3,1,1,1,1,0.0,0.293,0.293,0.293,0.293,0.0,0.3545,0.3545,0.3545,0.3545,60,90,24296,0.505,0.5561,0.4949,0.4796,0.5012,0.5181,0.4946,0.4821,0.4988,0.0379,0.0002,-0.0025,0.0025,0.473,0.5068,-0.0338,148,347,673,647,606,277,687,702,603,671,1331,1254,1205,219,-4534.0,1.478
C3,8,-2.987,0.999,-0.0,0.001,3.986,9.011,11.998,11.568,10.569,1,0,3,1,1,1,1,0.0,0.1702,0.1702,0.1702,0.1702,0.0,0.3218,0.3218,0.3218,0.3218,15,45,,0.586,0.655,0.8681,0.944,0.9281,0.5337,0.5514,0.537,0.5615,0.1213,0.3167,0.407,0.3665,0.5109,0.526,-0.0152,192,150,125,118,129,79,19,7,10,260,177,145,178,112,177.0,0.546
C3,9,-2.463,1.0,-0.0,0.0,3.463,11.037,13.5,13.454,12.454,0,1,3,0,0,0,0,0.0,0.1852,0.1852,0.1852,0.1852,0.0,0.3234,0.3234,0.3234,0.3234,18,48,,0.541,0.6714,0.8831,0.7464,0.7857,0.5494,0.5481,0.5124,0.5375,0.122,0.335,0.234,0.2482,0.4479,0.5127,-0.0648,197,190,204,103,121,93,27,35,33,345,278,145,179,108,54.0,0.468
C3,10,-2.987,0.0,-0.0,0.0,2.987,9.593,12.58,13.5,13.5,0,0,3,0,0,0,0,0.0,0.1621,0.1786,0.2071,0.2325,0.0,0.2958,0.2977,0.2984,0.3041,37,67,,0.002,0.6897,0.875,0.9286,0.9455,0.5348,0.5769,0.5937,0.5703,0.1549,0.2981,0.3349,0.3751,0.4719,0.5028,-0.0309,177,180,126,143,156,81,18,11,9,300,194,225,219,115,248.0,0.618
