[17:33:38] SUBIDA N6 — mundos {'P': {'ancho': 11, 'alto': 11, 'cierre': 5, 'd_ini': 4}, 'E': {'ancho': 15, 'alto': 13, 'cierre': 6, 'd_ini': 5}} r_vis=1 T=100000 n_tel=40 semillas 6621-6640 brazos 11 pool=6 pid=23580 mundo_subida 484e34db8f2150da
[17:33:38]   regla 14 CIEGO  : 13 campos del 21-sep; difieren ['alto', 'prueba.cierre', 'prueba.d_ini'] (todas declaradas en PREREGISTRO §3)
[17:33:38]   regla 14 CAMINO : 13 campos del 21-sep; difieren ['alto', 'prueba.cierre', 'prueba.d_ini'] (todas declaradas en PREREGISTRO §3)
[17:33:51]   1/220  CIEGO s6622  12.4s
[17:33:52]   2/220  CIEGO s6625  12.8s
[17:33:52]   3/220  CIEGO s6623  13.0s
[17:33:52]   4/220  CIEGO s6621  13.1s
[17:33:52]   5/220  CIEGO s6626  13.5s
[17:33:52]   6/220  CIEGO s6624  13.6s
[17:34:04]   7/220  CIEGO s6628  12.8s
[17:34:05]   8/220  CIEGO s6627  13.5s
[17:34:05]   9/220  CIEGO s6629  13.0s
[17:34:05]   10/220  CIEGO s6631  12.7s
[17:34:05]   11/220  CIEGO s6632  12.9s
[17:34:06]   12/220  CIEGO s6630  13.6s
[17:34:17]   13/220  CIEGO s6633  12.8s
[17:34:17]   14/220  CIEGO s6635  12.5s
[17:34:18]   15/220  CIEGO s6636  12.7s
[17:34:18]   16/220  CIEGO s6637  13.0s
[17:34:18]   17/220  CIEGO s6634  13.6s
[17:34:19]   18/220  CIEGO s6638  13.8s
[17:34:30]   19/220  CIEGO s6639  12.6s
[17:34:30]   20/220  CIEGO s6640  12.7s
[17:34:34]   21/220  CAMINO s6621  16.5s
[17:34:35]   22/220  CAMINO s6623  16.1s
[17:34:35]   23/220  CAMINO s6624  15.2s
[17:34:36]   24/220  CAMINO s6622  18.1s
[17:34:46]   25/220  CAMINO s6626  15.7s
[17:34:49]   26/220  CAMINO s6625  18.9s
[17:34:52]   27/220  CAMINO s6627  17.5s
[17:34:52]   28/220  CAMINO s6629  17.4s
[17:34:54]   29/220  CAMINO s6630  18.0s
[17:34:55]   30/220  CAMINO s6628  20.4s
[17:35:04]   31/220  CAMINO s6631  18.2s
[17:35:07]   32/220  CAMINO s6633  15.6s
[17:35:08]   33/220  CAMINO s6632  19.2s
[17:35:10]   34/220  CAMINO s6634  18.4s
[17:35:11]   35/220  CAMINO s6636  16.3s
[17:35:14]   36/220  CAMINO s6635  19.4s
[17:35:22]   37/220  CAMINO s6637  17.6s
[17:35:23]   38/220  CAMINO s6638  15.7s
[17:35:27]   39/220  CAMINO s6639  18.9s
[17:35:27]   40/220  GRAD s6621  15.8s
[17:35:28]   41/220  CAMINO s6640  17.7s
[17:35:30]   42/220  GRAD s6622  16.5s
[17:35:38]   43/220  GRAD s6623  16.1s
[17:35:44]   44/220  GRAD s6625  16.7s
[17:35:48]   45/220  GRAD s6628  17.8s
[17:35:52]   46/220  GRAD s6624  29.1s
[17:35:54]   47/220  GRAD s6629  16.3s
[17:35:56]   48/220  GRAD s6626  29.0s
[17:35:58]   49/220  GRAD s6627  30.3s
[17:36:01]   50/220  GRAD s6630  17.2s
[17:36:05]   51/220  GRAD s6631  16.9s
[17:36:10]   52/220  GRAD s6632  17.8s
[17:36:11]   53/220  GRAD s6633  16.8s
[17:36:19]   54/220  GRAD s6635  21.0s
[17:36:21]   55/220  GRAD s6636  19.9s
[17:36:21]   56/220  GRAD s6637  16.2s
[17:36:26]   57/220  GRAD s6634  30.2s
[17:36:28]   58/220  GRAD s6639  17.8s
[17:36:36]   59/220  FILTRO s6621  15.7s
[17:36:37]   60/220  GRAD s6640  17.6s
[17:36:39]   61/220  FILTRO s6622  17.4s
[17:36:40]   62/220  FILTRO s6623  14.0s
[17:36:40]   63/220  GRAD s6638  30.5s
[17:36:42]   64/220  FILTRO s6624  13.9s
[17:36:51]   65/220  FILTRO s6626  14.0s
[17:36:52]   66/220  FILTRO s6625  15.4s
[17:36:54]   67/220  FILTRO s6627  14.8s
[17:36:55]   68/220  FILTRO s6629  14.2s
[17:36:57]   69/220  FILTRO s6630  14.6s
[17:36:59]   70/220  FILTRO s6628  18.3s
[17:37:05]   71/220  FILTRO s6631  13.7s
[17:37:08]   72/220  FILTRO s6632  15.6s
[17:37:09]   73/220  FILTRO s6633  15.6s
[17:37:09]   74/220  FILTRO s6634  14.8s
[17:37:12]   75/220  FILTRO s6635  14.6s
[17:37:16]   76/220  FILTRO s6636  17.3s
[17:37:20]   77/220  FILTRO s6637  15.0s
[17:37:21]   78/220  FILTRO s6638  13.8s
[17:37:25]   79/220  FILTRO s6640  15.4s
[17:37:26]   80/220  FILTRO s6639  16.7s
[17:37:26]   81/220  GF s6621  14.6s
[17:37:32]   82/220  GF s6622  15.8s
[17:37:34]   83/220  GF s6623  14.2s
[17:37:36]   84/220  GF s6624  15.1s
[17:37:40]   85/220  GF s6625  15.0s
